AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,Class
5.27,2.24,7.35,5.11,3.35,7.83,2.72,5.75,6.07,7.99,3.04,3.67,6.87,2.88,5.59,10.7,5.91,4.63,0.64,2.4,0.392,-0.484,-0.106,-0.409,0.164,0.144,0.241,0.454,0.069,0.064,0.144,0.457,0.249,0.053,0.545,0.455,18.93,138.23,29.75,31.5,74.38,39.6,53.4,43.56,61.24,20.28,93.31,43.2,34.07,33.92,34.54,20.13,36.71,38.7,61.77,122.18,1.43,1.0,1.14,1.16,1.0,1.06,1.0,1.07,1.08,1.21,1.0,1.0,1.2,1.1,1.3,1.13,1.23,1.17,1.0,1.0,DNA
10.72,2.07,6.94,4.63,3.05,4.02,3.05,3.53,2.92,10.23,1.95,4.51,6.21,4.99,7.43,9.5,5.36,4.38,2.31,2.19,0.309,-0.313,-0.118,-0.337,0.223,0.134,0.241,0.464,0.062,0.076,0.134,0.498,0.241,0.04,0.537,0.463,22.17,39.57,24.0,19.01,45.39,19.77,65.37,22.06,32.21,17.32,131.02,66.8,57.36,43.95,13.3,36.72,23.8,26.95,40.06,65.26,1.0,1.0,1.0,1.15,1.0,1.0,2.71,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.12,1.0,1.0,1.22,1.0,1.0,DNA
8.97,3.21,6.41,8.33,3.85,6.41,4.49,5.77,4.49,10.26,1.28,1.28,1.92,3.21,10.26,3.21,6.41,5.77,3.21,1.28,0.273,-0.345,-0.45,-0.222,0.064,0.192,0.173,0.474,0.019,0.083,0.192,0.506,0.224,0.045,0.436,0.564,22.77,50.11,30.72,35.68,67.91,21.81,109.96,138.24,29.92,29.89,158.49,139.5,24.42,32.46,42.08,30.3,40.71,39.01,147.63,181.27,1.15,1.1,1.06,1.29,1.0,1.29,1.25,1.0,1.15,1.15,1.0,1.0,1.59,1.0,1.52,1.11,1.0,1.07,1.0,1.5,DNA
8.6,6.45,5.29,5.79,2.64,8.1,1.32,1.49,6.78,6.78,0.83,0.99,10.58,5.45,10.25,5.95,5.29,4.79,1.32,1.32,0.613,-0.443,-0.128,-0.212,0.185,0.183,0.245,0.451,0.106,0.053,0.183,0.488,0.299,0.073,0.56,0.44,10.37,0.0,63.25,36.9,97.31,57.17,106.96,52.43,6.26,63.87,143.93,104.82,37.8,76.14,43.1,13.8,52.59,21.35,0.0,104.97,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,0.0,1.0,DNA
15.31,0.0,2.04,3.06,0.51,4.08,1.02,3.06,29.59,3.06,1.02,1.53,8.16,2.55,3.57,10.71,3.06,6.12,0.0,1.53,0.862,-0.452,-0.674,0.089,0.489,0.342,0.179,0.413,0.082,0.02,0.342,0.403,0.439,0.01,0.51,0.49,28.47,215.94,30.12,25.02,60.57,32.12,147.73,32.69,17.99,21.56,76.88,50.6,44.99,49.49,59.87,20.66,45.42,23.97,132.77,90.33,1.18,1.0,1.1,1.19,1.0,1.14,1.0,1.04,1.29,1.24,1.0,1.06,1.27,1.18,1.06,1.12,1.14,1.09,1.0,1.12,DNA
6.61,1.38,6.11,7.4,2.96,7.0,1.87,4.73,12.43,8.88,2.47,3.55,4.34,3.35,3.25,8.38,4.14,6.71,1.28,3.16,0.347,-0.445,-0.326,-0.4,0.152,0.176,0.204,0.45,0.043,0.074,0.176,0.435,0.254,0.038,0.482,0.518,21.42,52.19,30.24,11.86,50.49,34.85,31.51,27.76,25.5,20.12,81.22,40.32,23.09,26.74,26.51,20.41,21.89,40.26,92.47,82.74,1.25,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.5,1.22,1.0,1.5,1.0,1.0,1.29,1.0,1.0,1.0,1.0,1.0,DNA
7.62,0.95,4.76,13.33,1.9,3.81,2.86,6.67,7.62,8.57,2.86,3.81,5.71,2.86,6.67,5.71,5.71,3.81,1.9,2.86,0.397,-0.224,-0.382,-0.428,0.14,0.171,0.181,0.429,0.057,0.067,0.171,0.457,0.267,0.038,0.419,0.581,23.63,161.18,29.24,30.61,53.84,23.72,95.33,31.55,23.8,20.1,93.88,59.25,37.29,70.6,34.54,23.74,32.7,24.08,149.74,38.29,1.12,1.0,1.07,1.07,1.1,1.1,1.0,1.03,1.11,1.18,1.09,1.05,1.04,1.07,1.04,1.18,1.09,1.23,1.0,1.05,DNA
7.47,1.12,5.7,7.56,3.83,7.75,1.87,5.88,6.63,8.12,2.15,3.55,4.2,2.52,5.14,8.12,5.98,7.47,0.93,4.01,0.213,-0.546,-0.283,-0.489,0.113,0.136,0.218,0.478,0.042,0.088,0.136,0.472,0.214,0.033,0.514,0.486,23.51,89.7,34.42,20.9,26.41,13.4,0.0,44.27,30.94,33.37,105.15,37.25,41.95,42.52,15.03,14.94,28.76,28.18,61.23,91.7,1.25,1.0,1.44,1.0,1.0,2.83,0.0,1.0,1.0,1.0,1.0,1.0,1.22,1.0,1.0,1.0,1.17,1.33,1.0,1.0,DNA
9.7,0.61,5.45,8.48,4.85,13.94,0.0,2.42,3.64,4.24,1.21,3.03,5.45,1.82,8.48,9.7,7.27,7.27,1.82,0.61,0.699,-0.784,-0.171,-0.558,0.142,0.121,0.2,0.509,0.055,0.073,0.121,0.448,0.206,0.018,0.624,0.376,14.23,0.0,44.94,41.94,83.82,14.1,29.8,20.07,20.97,15.04,126.01,63.88,37.18,42.67,24.76,16.68,23.83,18.06,0.0,57.75,1.22,0.0,1.0,1.4,1.0,1.53,1.0,1.0,1.14,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.25,1.0,0.0,1.0,DNA
14.06,0.0,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,6.25,6.25,5.47,0.0,1.56,0.472,-0.899,-0.652,-0.202,0.316,0.227,0.18,0.516,0.023,0.023,0.227,0.461,0.258,0.008,0.5,0.5,14.42,0.0,44.94,41.94,83.82,14.1,29.8,20.07,20.97,15.04,126.01,63.88,37.18,42.67,24.76,15.62,18.68,17.92,0.0,57.75,1.25,0.0,1.0,1.4,1.0,1.53,1.0,1.0,1.14,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.25,1.0,0.0,1.0,DNA
12.5,0.0,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,7.03,6.25,6.25,0.0,1.56,0.466,-0.892,-0.665,-0.217,0.3,0.227,0.188,0.508,0.023,0.023,0.227,0.453,0.258,0.008,0.5,0.5,26.42,0.0,46.55,12.56,24.15,27.72,68.21,21.17,35.04,9.05,49.56,24.31,43.02,31.59,14.79,20.3,36.65,42.64,178.74,98.77,1.24,0.0,1.0,1.27,1.0,1.0,1.0,1.0,1.2,1.37,1.0,1.0,1.0,1.0,1.1,1.0,1.33,1.0,1.0,1.0,DNA
8.67,0.0,3.06,11.22,5.61,4.59,1.02,7.14,5.1,13.78,3.06,5.61,2.04,4.08,10.71,6.12,3.06,3.06,0.51,1.53,0.151,-0.236,-0.602,-0.449,0.133,0.168,0.148,0.485,0.02,0.077,0.168,0.469,0.245,0.031,0.362,0.638,29.91,304.47,53.31,52.48,43.04,26.79,82.16,68.27,102.97,27.0,77.63,32.83,34.88,37.84,64.75,24.63,24.05,47.87,238.6,60.92,1.11,1.0,1.06,1.18,1.07,1.21,1.0,1.26,1.44,1.15,1.0,1.1,1.16,5.41,1.07,1.11,1.16,1.43,1.0,1.0,DNA
5.46,1.29,5.03,4.89,4.02,8.19,1.87,4.45,3.88,7.61,2.01,6.03,9.2,8.48,4.17,7.61,7.33,6.03,0.29,2.16,0.292,-0.52,-0.14,-0.535,0.196,0.099,0.269,0.473,0.092,0.065,0.099,0.477,0.251,0.033,0.562,0.438,43.52,229.85,21.28,24.66,27.42,33.3,75.41,20.95,19.66,46.63,30.54,38.84,60.02,42.25,35.21,26.95,23.27,27.52,124.26,45.02,1.17,1.0,1.1,1.19,1.0,1.0,1.0,1.17,1.07,1.53,1.0,1.18,1.0,1.0,1.14,1.0,1.1,1.11,1.0,1.17,DNA
4.03,0.67,7.05,7.05,5.7,6.38,2.01,8.05,9.73,6.38,4.03,3.69,4.03,3.02,4.7,5.7,7.05,6.04,0.67,4.03,0.142,-0.32,-0.371,-0.395,0.049,0.164,0.205,0.453,0.04,0.104,0.164,0.466,0.242,0.047,0.446,0.554,51.76,93.7,27.32,19.48,50.71,41.7,63.89,40.21,22.42,24.96,51.16,29.01,60.69,40.5,27.36,21.34,33.4,43.72,80.36,52.36,1.19,1.0,2.05,1.09,1.11,1.28,1.0,1.0,1.0,1.11,1.0,1.07,1.0,1.1,1.07,1.14,1.06,1.0,1.0,1.0,DNA
4.11,1.37,8.22,8.81,3.52,5.68,2.54,5.28,8.41,7.44,3.13,5.68,3.33,3.91,5.28,8.41,6.26,4.5,1.57,2.54,0.604,-0.22,-0.251,-0.494,0.047,0.162,0.225,0.386,0.033,0.076,0.162,0.405,0.252,0.045,0.476,0.524,15.79,63.78,51.89,9.05,26.91,28.73,42.23,40.0,12.99,27.52,35.66,27.23,72.6,32.12,31.49,15.5,37.1,17.78,0.0,67.44,1.0,1.0,1.4,1.0,1.33,1.0,1.0,1.29,1.0,1.8,1.0,1.0,1.0,1.0,1.29,1.31,1.0,1.22,0.0,1.0,DNA
7.87,0.79,3.94,13.39,4.72,3.15,1.57,5.51,8.66,7.87,3.94,6.3,1.57,3.15,5.51,10.24,2.36,7.09,0.0,2.36,0.471,-0.29,-0.357,-0.58,0.071,0.157,0.189,0.417,0.016,0.071,0.157,0.417,0.236,0.047,0.433,0.567,22.96,42.47,17.17,89.28,52.01,42.37,48.21,15.82,34.96,25.88,86.78,27.8,15.43,36.31,34.19,21.31,24.02,24.98,46.55,36.23,1.0,1.0,1.33,1.0,1.33,1.33,1.0,1.0,1.0,1.33,1.0,1.0,1.27,1.0,1.0,1.0,1.25,1.0,1.0,1.0,DNA
6.12,2.72,8.16,2.04,4.08,4.08,2.04,8.16,5.44,8.16,2.72,4.76,10.2,3.4,5.44,7.48,5.44,3.4,2.04,4.08,-0.066,-0.209,-0.028,-0.253,0.18,0.129,0.231,0.49,0.102,0.102,0.129,0.531,0.279,0.054,0.524,0.476,15.18,0.0,52.8,10.41,95.57,18.36,52.86,25.73,18.77,12.31,39.71,30.57,47.24,23.73,20.52,20.07,89.14,17.11,0.0,0.0,2.38,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.18,1.0,1.0,1.5,1.0,1.36,1.0,1.0,1.0,0.0,0.0,DNA
12.15,0.0,0.93,10.28,0.93,9.35,1.87,4.67,7.48,10.28,2.8,2.8,3.74,4.67,10.28,9.35,1.87,6.54,0.0,0.0,0.589,-0.703,-0.621,-0.376,0.291,0.196,0.159,0.505,0.037,0.009,0.196,0.43,0.262,0.028,0.467,0.533,18.24,75.86,79.01,44.14,33.51,29.82,55.81,44.41,27.59,15.49,133.86,30.39,71.64,44.38,37.16,20.87,31.73,37.21,95.5,97.74,1.14,1.0,1.06,1.38,1.18,1.12,1.0,1.0,1.15,1.09,1.0,1.0,1.27,1.07,1.13,1.12,1.12,1.0,1.0,1.0,DNA
9.42,2.31,5.12,7.77,5.62,5.29,2.48,3.31,6.61,10.74,1.49,5.29,2.48,4.46,4.96,8.1,5.45,4.79,1.82,2.48,0.282,-0.349,-0.214,-0.439,0.084,0.14,0.228,0.45,0.025,0.099,0.14,0.474,0.218,0.038,0.483,0.517,14.86,0.0,22.82,17.7,46.21,16.22,95.56,30.14,16.28,69.43,64.52,27.2,22.95,30.32,38.29,23.19,38.56,28.46,90.03,63.96,1.0,0.0,1.18,1.14,1.0,1.67,1.0,1.0,1.64,1.0,1.0,1.0,1.0,1.0,1.29,1.0,1.0,1.33,1.0,1.67,DNA
11.11,0.0,6.79,8.64,2.47,11.11,0.62,5.56,13.58,1.85,2.47,3.7,5.56,3.09,4.32,8.64,4.32,3.7,0.62,1.85,0.946,-0.585,-0.243,-0.461,0.232,0.185,0.179,0.444,0.056,0.049,0.185,0.377,0.278,0.025,0.549,0.451,24.14,137.67,26.22,49.34,41.23,22.68,80.47,34.0,47.66,29.83,96.23,26.56,28.65,28.88,48.88,34.95,21.61,41.77,75.08,48.99,1.23,1.0,1.0,1.0,1.2,1.57,1.0,1.0,1.23,1.09,1.15,1.17,1.21,1.15,1.0,1.09,1.14,1.23,1.0,1.07,DNA
8.31,0.82,5.86,3.27,4.09,8.17,2.72,3.95,4.77,6.13,1.77,6.27,7.63,5.45,4.36,6.13,9.4,4.77,2.18,3.95,0.278,-0.408,-0.104,-0.356,0.117,0.119,0.257,0.47,0.076,0.102,0.119,0.49,0.257,0.026,0.574,0.426,29.98,310.1,33.72,51.3,35.09,27.34,63.77,37.97,38.16,43.59,113.55,27.03,22.73,35.6,44.6,58.03,21.82,41.07,82.69,60.62,1.26,1.0,1.1,1.0,1.24,1.84,1.0,1.0,1.38,1.1,1.0,1.21,1.26,1.12,1.19,1.05,1.19,1.2,1.13,1.14,DNA
7.43,0.55,5.5,3.71,4.54,8.8,2.06,4.26,5.09,5.78,1.93,7.7,8.39,4.4,4.4,5.23,8.53,5.64,2.06,3.99,0.224,-0.39,-0.1,-0.363,0.084,0.116,0.227,0.488,0.084,0.106,0.116,0.491,0.276,0.025,0.578,0.422,28.71,58.44,40.95,38.87,51.47,20.56,58.59,88.11,48.45,18.01,176.35,96.54,21.78,57.34,18.99,18.12,41.08,47.84,91.78,79.64,1.12,1.26,1.08,1.14,1.0,1.56,1.0,1.0,1.5,1.27,1.0,1.0,1.44,1.11,1.21,1.34,1.0,1.06,1.0,1.0,DNA
6.08,4.11,4.29,5.01,3.22,10.2,2.68,1.61,4.29,10.55,0.89,1.25,9.66,3.4,8.41,10.55,3.58,5.55,2.15,2.5,0.285,-0.503,-0.076,-0.225,0.196,0.154,0.242,0.499,0.097,0.079,0.154,0.474,0.263,0.05,0.553,0.447,11.54,0.0,49.07,16.1,33.55,22.83,70.01,16.61,24.48,13.22,31.01,23.31,44.51,15.42,24.13,13.38,30.59,23.9,0.0,0.0,1.25,0.0,1.0,1.0,1.0,1.57,1.0,1.0,1.0,1.33,1.0,3.0,1.0,1.5,1.0,1.0,1.67,1.0,0.0,0.0,DNA
11.11,0.0,1.39,6.94,2.78,9.72,1.39,5.56,2.78,8.33,4.17,8.33,1.39,11.11,6.94,9.72,4.17,4.17,0.0,0.0,0.612,-0.666,-0.405,-0.584,0.14,0.111,0.25,0.472,0.014,0.028,0.111,0.417,0.208,0.042,0.5,0.5,22.73,214.89,31.27,65.57,73.76,25.22,41.47,56.15,90.74,25.03,54.2,52.14,18.79,44.9,36.12,26.24,58.51,35.2,161.0,71.72,1.06,1.0,1.4,1.24,1.0,1.28,1.13,1.0,1.35,1.18,1.25,1.11,1.2,1.07,1.33,1.33,1.0,1.0,1.0,1.0,DNA
7.13,1.26,7.34,3.56,2.52,9.01,6.29,3.35,3.56,7.13,5.03,3.77,10.27,5.66,3.77,8.81,3.77,4.82,0.63,2.31,0.372,-0.445,0.087,-0.209,0.266,0.136,0.218,0.499,0.103,0.055,0.136,0.459,0.277,0.063,0.562,0.438,34.37,51.68,17.34,21.35,39.35,59.18,28.0,19.63,11.55,9.68,30.07,28.69,20.84,37.16,39.44,13.54,35.07,15.96,0.0,54.51,1.0,1.0,1.33,2.14,1.0,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DNA
6.94,1.39,8.33,9.72,1.39,1.39,2.78,6.94,8.33,13.89,4.17,6.94,4.17,4.17,4.17,5.56,1.39,6.94,0.0,1.39,0.199,-0.283,-0.353,-0.536,0.202,0.153,0.139,0.458,0.042,0.028,0.153,0.472,0.264,0.056,0.431,0.569,17.73,0.0,12.36,22.11,32.91,17.58,0.0,21.14,32.94,11.41,46.78,31.76,16.82,46.71,13.62,14.36,18.11,12.59,0.0,38.73,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DNA
8.86,0.0,8.86,6.33,3.8,7.59,0.0,5.06,2.53,11.39,2.53,2.53,7.59,1.27,10.13,7.59,6.33,6.33,0.0,1.27,0.23,-0.595,-0.305,-0.545,0.313,0.127,0.165,0.532,0.076,0.051,0.127,0.519,0.228,0.025,0.557,0.443,23.52,164.57,36.13,64.76,56.54,56.08,67.31,32.72,22.83,23.54,88.52,63.58,46.64,41.57,35.19,20.28,21.55,30.66,53.95,64.07,1.38,1.5,1.06,1.24,1.0,1.33,1.0,1.37,1.38,1.54,1.0,1.0,1.0,1.14,1.14,1.25,1.15,1.0,1.0,1.0,DNA
6.45,0.81,6.45,3.43,2.82,6.05,3.02,5.44,9.68,7.46,1.61,3.83,4.03,5.65,5.65,9.68,8.06,4.84,2.22,2.82,0.455,-0.343,-0.382,-0.306,0.157,0.183,0.27,0.409,0.04,0.079,0.183,0.438,0.262,0.024,0.502,0.498,11.78,75.11,45.55,26.69,56.74,24.38,46.03,38.05,105.02,10.94,75.49,0.0,64.05,46.83,16.44,37.0,17.27,29.78,93.57,63.88,1.36,1.0,1.0,1.0,1.0,1.12,1.0,1.22,1.0,1.08,1.0,0.0,1.22,1.0,1.31,1.2,1.12,1.22,1.0,1.0,DNA
13.02,0.93,4.65,6.05,2.33,7.44,2.79,4.19,1.4,11.16,2.33,0.0,4.19,3.26,12.09,4.65,7.91,8.37,0.93,2.33,0.128,-0.691,-0.549,-0.296,0.244,0.163,0.191,0.54,0.042,0.056,0.163,0.553,0.205,0.033,0.512,0.488,32.28,193.99,27.88,14.53,43.21,24.25,50.88,35.05,43.7,16.0,28.0,94.82,20.04,42.45,25.01,31.7,37.31,18.2,91.37,52.77,1.0,1.0,1.15,1.42,1.22,1.27,1.0,1.0,1.0,1.3,1.0,1.0,1.0,1.0,1.27,1.0,1.0,1.18,1.0,1.0,DNA
4.8,0.44,5.68,10.48,3.93,6.55,3.06,4.8,3.06,8.73,5.24,2.18,6.11,3.06,9.61,3.93,5.24,9.61,1.31,2.18,0.1,-0.347,-0.437,-0.332,0.106,0.157,0.148,0.511,0.061,0.074,0.157,0.502,0.24,0.057,0.445,0.555,28.74,99.82,46.46,23.22,130.66,33.59,39.35,35.55,34.09,19.92,99.03,41.25,21.1,27.74,58.66,29.02,33.84,34.32,119.19,90.55,1.33,1.0,1.13,1.24,1.15,1.0,1.08,1.07,1.14,1.27,1.0,1.06,1.08,1.06,1.13,1.25,1.0,1.0,1.0,1.14,DNA
6.6,1.57,4.72,8.02,2.04,4.72,4.09,4.56,6.92,8.02,1.57,4.87,8.02,5.5,4.72,8.96,5.82,5.19,1.89,2.2,0.434,-0.297,-0.2,-0.365,0.201,0.157,0.241,0.426,0.08,0.061,0.157,0.453,0.286,0.031,0.505,0.495,13.62,0.0,51.98,30.15,34.14,33.08,54.33,28.27,15.95,14.88,134.01,91.12,43.45,20.36,14.62,21.8,17.37,23.22,0.0,46.12,1.25,0.0,1.0,1.0,1.0,1.57,1.0,1.0,1.25,1.15,1.0,1.0,1.0,1.0,1.24,1.2,1.0,1.0,0.0,1.0,DNA
