ID,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
Seq_50,0.405,0.258,0.338,0.381,0.331,0.331
Seq_51,0.436,0.308,0.256,0.462,0.282,0.231
Seq_52,0.562,0.188,0.25,0.398,0.398,0.182
Seq_53,0.473,0.279,0.248,0.404,0.345,0.24
Seq_54,0.513,0.231,0.256,0.474,0.256,0.167
Seq_55,0.487,0.242,0.272,0.449,0.335,0.25
Seq_56,0.398,0.318,0.284,0.407,0.356,0.244
Seq_57,0.481,0.27,0.249,0.437,0.287,0.249
Seq_58,0.494,0.236,0.269,0.365,0.405,0.213
Seq_59,0.301,0.429,0.271,0.451,0.241,0.308
Seq_60,0.429,0.318,0.253,0.444,0.293,0.247
Seq_61,0.476,0.262,0.262,0.333,0.397,0.23
Seq_62,0.46,0.212,0.328,0.377,0.316,0.293
Seq_63,0.428,0.318,0.253,0.414,0.384,0.182
Seq_64,0.435,0.216,0.349,0.331,0.402,0.351
Seq_65,0.423,0.237,0.34,0.304,0.396,0.352
Seq_66,0.503,0.204,0.292,0.345,0.405,0.28
Seq_67,0.404,0.286,0.31,0.388,0.328,0.298
Seq_68,0.481,0.207,0.312,0.326,0.398,0.276
Seq_69,0.462,0.26,0.278,0.384,0.371,0.251
Seq_70,0.35,0.266,0.384,0.368,0.302,0.363
Seq_71,0.41,0.315,0.275,0.384,0.354,0.252
Seq_72,0.412,0.204,0.384,0.371,0.352,0.342
Seq_73,0.447,0.207,0.346,0.439,0.297,0.238
Seq_74,0.388,0.274,0.339,0.47,0.296,0.256
Seq_75,0.507,0.22,0.273,0.504,0.292,0.225
Seq_76,0.488,0.255,0.257,0.416,0.322,0.231
Seq_77,0.467,0.284,0.249,0.422,0.291,0.266
Seq_78,0.496,0.176,0.328,0.389,0.282,0.267
Seq_79,0.53,0.219,0.251,0.493,0.233,0.247
Seq_80,0.44,0.246,0.315,0.405,0.339,0.274
Seq_81,0.371,0.239,0.39,0.35,0.376,0.374
Seq_82,0.437,0.236,0.327,0.4,0.307,0.314
Seq_83,0.412,0.282,0.305,0.382,0.344,0.276
Seq_84,0.448,0.244,0.308,0.369,0.347,0.242
Seq_85,0.522,0.235,0.243,0.428,0.304,0.212
Seq_86,0.435,0.31,0.255,0.351,0.326,0.334
Seq_87,0.515,0.262,0.223,0.4,0.377,0.162
Seq_88,0.4,0.339,0.261,0.43,0.326,0.233
Seq_89,0.337,0.151,0.512,0.241,0.471,0.284
Seq_90,0.453,0.28,0.266,0.364,0.332,0.262
Seq_91,0.503,0.186,0.311,0.351,0.364,0.287
Seq_92,0.594,0.225,0.181,0.341,0.406,0.196
Seq_93,0.435,0.209,0.356,0.331,0.366,0.351
Seq_94,0.447,0.238,0.315,0.359,0.344,0.333
Seq_95,0.54,0.245,0.216,0.331,0.36,0.266
Seq_96,0.593,0.198,0.21,0.531,0.309,0.111
Seq_97,0.495,0.248,0.257,0.316,0.409,0.282
Seq_98,0.505,0.21,0.285,0.332,0.389,0.248
Seq_99,0.584,0.201,0.215,0.483,0.28,0.195
Seq_100,0.415,0.284,0.3,0.368,0.335,0.291
Seq_101,0.435,0.258,0.306,0.387,0.325,0.311
Seq_102,0.551,0.186,0.263,0.432,0.271,0.288
Seq_103,0.567,0.257,0.175,0.439,0.316,0.228
Seq_104,0.401,0.234,0.365,0.342,0.381,0.323
Seq_105,0.459,0.268,0.273,0.412,0.32,0.254
Seq_106,0.437,0.173,0.39,0.374,0.34,0.324
Seq_107,0.531,0.281,0.188,0.421,0.378,0.148
Seq_108,0.594,0.217,0.188,0.478,0.304,0.13
Seq_109,0.477,0.276,0.247,0.424,0.306,0.27
Seq_110,0.592,0.197,0.211,0.367,0.361,0.265
Seq_111,0.479,0.218,0.303,0.343,0.388,0.263
Seq_112,0.423,0.232,0.345,0.405,0.327,0.327
Seq_113,0.477,0.247,0.276,0.426,0.304,0.25
Seq_114,0.468,0.2,0.332,0.343,0.378,0.316
Seq_115,0.432,0.27,0.298,0.39,0.336,0.289
Seq_116,0.509,0.223,0.268,0.385,0.336,0.309
Seq_117,0.47,0.303,0.227,0.394,0.333,0.258
Seq_118,0.446,0.242,0.311,0.392,0.321,0.291
Seq_119,0.472,0.14,0.388,0.422,0.363,0.307
Seq_120,0.473,0.199,0.328,0.428,0.311,0.281
Seq_121,0.494,0.278,0.228,0.405,0.316,0.228
Seq_122,0.486,0.268,0.246,0.481,0.301,0.194
Seq_123,0.504,0.286,0.21,0.399,0.379,0.213
Seq_124,0.369,0.289,0.342,0.356,0.357,0.314
Seq_125,0.503,0.266,0.231,0.427,0.322,0.21
Seq_126,0.414,0.35,0.236,0.423,0.3,0.232
Seq_127,0.363,0.256,0.381,0.363,0.321,0.355
Seq_128,0.507,0.15,0.343,0.473,0.323,0.282
Seq_129,0.386,0.219,0.395,0.334,0.278,0.447
Seq_130,0.425,0.299,0.276,0.391,0.356,0.236
Seq_131,0.453,0.283,0.263,0.413,0.368,0.198
Seq_132,0.51,0.235,0.255,0.357,0.378,0.224
Seq_133,0.379,0.279,0.342,0.399,0.301,0.316
Seq_134,0.431,0.3,0.269,0.434,0.336,0.213
Seq_135,0.384,0.193,0.423,0.354,0.332,0.389
Seq_136,0.422,0.352,0.227,0.43,0.344,0.242
Seq_137,0.485,0.198,0.318,0.429,0.343,0.278
Seq_138,0.456,0.289,0.254,0.42,0.364,0.222
Seq_139,0.42,0.299,0.281,0.384,0.339,0.279
Seq_140,0.45,0.279,0.271,0.39,0.347,0.275
Seq_141,0.403,0.257,0.34,0.286,0.345,0.347
Seq_142,0.5,0.244,0.256,0.479,0.319,0.176
Seq_143,0.417,0.242,0.34,0.366,0.363,0.273
Seq_144,0.563,0.163,0.274,0.265,0.549,0.209
Seq_145,0.505,0.344,0.151,0.43,0.355,0.204
Seq_146,0.549,0.256,0.195,0.446,0.349,0.174
Seq_147,0.402,0.277,0.321,0.386,0.365,0.269
Seq_148,0.426,0.292,0.282,0.426,0.366,0.208
Seq_149,0.48,0.159,0.362,0.409,0.323,0.284
Seq_150,0.403,0.178,0.419,0.395,0.334,0.356
Seq_151,0.383,0.203,0.414,0.31,0.369,0.389
Seq_152,0.492,0.25,0.258,0.399,0.278,0.258
Seq_153,0.429,0.212,0.359,0.321,0.353,0.343
Seq_154,0.463,0.221,0.316,0.403,0.325,0.301
Seq_155,0.455,0.223,0.322,0.427,0.287,0.334
Seq_156,0.445,0.253,0.302,0.355,0.364,0.267
Seq_157,0.44,0.229,0.332,0.417,0.334,0.302
Seq_158,0.436,0.197,0.367,0.351,0.306,0.444
Seq_159,0.444,0.222,0.333,0.444,0.293,0.283
Seq_160,0.388,0.313,0.299,0.407,0.28,0.285
Seq_161,0.502,0.295,0.203,0.422,0.38,0.215
Seq_162,0.491,0.268,0.242,0.387,0.312,0.268
Seq_163,0.522,0.251,0.227,0.498,0.3,0.202
Seq_164,0.43,0.267,0.303,0.485,0.255,0.255
Seq_165,0.475,0.302,0.223,0.422,0.358,0.205
Seq_166,0.471,0.307,0.222,0.425,0.342,0.204
Seq_167,0.471,0.312,0.217,0.421,0.359,0.209
Seq_168,0.401,0.311,0.288,0.434,0.283,0.255
Seq_169,0.381,0.319,0.3,0.446,0.304,0.262
Seq_170,0.397,0.247,0.356,0.317,0.35,0.395
Seq_171,0.592,0.192,0.216,0.487,0.303,0.181
Seq_172,0.408,0.311,0.282,0.335,0.374,0.296
Seq_173,0.446,0.297,0.257,0.444,0.364,0.184
Seq_174,0.479,0.27,0.251,0.446,0.33,0.213
Seq_175,0.463,0.246,0.291,0.451,0.302,0.231
Seq_176,0.481,0.282,0.237,0.427,0.328,0.237
Seq_177,0.465,0.283,0.252,0.416,0.301,0.226
Seq_178,0.453,0.324,0.223,0.356,0.349,0.295
Seq_179,0.462,0.286,0.251,0.427,0.359,0.197
Seq_180,0.436,0.228,0.337,0.333,0.36,0.362
Seq_181,0.528,0.208,0.264,0.358,0.358,0.208
Seq_182,0.4,0.346,0.254,0.41,0.339,0.254
Seq_183,0.405,0.319,0.276,0.407,0.368,0.222
Seq_184,0.377,0.332,0.291,0.363,0.368,0.265
Seq_185,0.45,0.269,0.282,0.403,0.357,0.223
Seq_186,0.469,0.273,0.258,0.336,0.391,0.266
Seq_187,0.644,0.156,0.2,0.333,0.356,0.267
Seq_188,0.412,0.21,0.378,0.367,0.33,0.327
Seq_189,0.433,0.235,0.332,0.343,0.41,0.269
Seq_190,0.41,0.24,0.35,0.422,0.278,0.32
Seq_191,0.489,0.235,0.276,0.421,0.307,0.241
Seq_192,0.425,0.232,0.343,0.416,0.304,0.298
Seq_193,0.5,0.287,0.213,0.5,0.309,0.169
Seq_194,0.515,0.224,0.26,0.383,0.393,0.25
Seq_195,0.528,0.275,0.197,0.394,0.291,0.275
Seq_196,0.448,0.249,0.303,0.37,0.374,0.276
Seq_197,0.5,0.228,0.272,0.339,0.45,0.2
Seq_198,0.503,0.282,0.215,0.392,0.304,0.293
Seq_199,0.44,0.198,0.362,0.343,0.379,0.339
Seq_200,0.485,0.222,0.294,0.438,0.268,0.258
Seq_201,0.616,0.212,0.172,0.358,0.377,0.185
Seq_202,0.506,0.265,0.23,0.381,0.339,0.226
Seq_203,0.482,0.26,0.258,0.443,0.314,0.208
Seq_204,0.374,0.214,0.411,0.391,0.323,0.391
Seq_205,0.523,0.223,0.254,0.44,0.285,0.197
Seq_206,0.397,0.283,0.32,0.437,0.314,0.251
Seq_207,0.384,0.316,0.3,0.421,0.368,0.189
Seq_208,0.548,0.185,0.268,0.369,0.414,0.197
Seq_209,0.468,0.28,0.252,0.458,0.282,0.24
Seq_210,0.464,0.257,0.279,0.395,0.337,0.279
Seq_211,0.5,0.207,0.293,0.426,0.335,0.218
Seq_212,0.55,0.275,0.175,0.415,0.36,0.175
Seq_213,0.443,0.224,0.333,0.319,0.34,0.312
Seq_214,0.522,0.246,0.233,0.47,0.237,0.233
Seq_215,0.491,0.295,0.214,0.429,0.304,0.259
Seq_216,0.413,0.221,0.366,0.368,0.313,0.358
Seq_217,0.414,0.299,0.287,0.42,0.261,0.293
Seq_218,0.456,0.287,0.258,0.426,0.325,0.244
Seq_219,0.426,0.246,0.328,0.392,0.321,0.279
Seq_220,0.402,0.228,0.37,0.364,0.352,0.359
Seq_221,0.571,0.209,0.221,0.411,0.301,0.215
Seq_222,0.396,0.274,0.331,0.319,0.349,0.365
Seq_223,0.504,0.257,0.239,0.43,0.32,0.207
Seq_224,0.473,0.251,0.276,0.366,0.317,0.309
Seq_225,0.511,0.222,0.267,0.393,0.333,0.23
Seq_226,0.521,0.234,0.245,0.436,0.351,0.202
Seq_227,0.463,0.262,0.275,0.389,0.356,0.242
Seq_228,0.547,0.247,0.207,0.44,0.297,0.18
Seq_229,0.522,0.211,0.267,0.467,0.4,0.122
Seq_230,0.422,0.206,0.371,0.281,0.411,0.405
Seq_231,0.441,0.271,0.287,0.417,0.36,0.178
Seq_232,0.455,0.255,0.29,0.448,0.301,0.217
Seq_233,0.435,0.294,0.271,0.392,0.363,0.29
Seq_234,0.397,0.309,0.294,0.362,0.413,0.225
Seq_235,0.429,0.201,0.37,0.465,0.26,0.26
Seq_236,0.391,0.26,0.348,0.363,0.346,0.351
Seq_237,0.501,0.235,0.264,0.443,0.284,0.261
Seq_238,0.387,0.246,0.367,0.427,0.3,0.323
Seq_239,0.47,0.242,0.288,0.467,0.28,0.256
Seq_240,0.508,0.238,0.254,0.349,0.333,0.302
Seq_241,0.492,0.246,0.262,0.333,0.341,0.317
Seq_242,0.492,0.238,0.27,0.333,0.333,0.317
Seq_243,0.484,0.246,0.27,0.325,0.325,0.325
Seq_244,0.48,0.283,0.236,0.339,0.291,0.331
Seq_245,0.463,0.265,0.271,0.451,0.286,0.23
Seq_246,0.465,0.276,0.26,0.37,0.386,0.22
Seq_247,0.457,0.173,0.37,0.276,0.425,0.283
Seq_248,0.464,0.312,0.224,0.344,0.328,0.272
Seq_249,0.431,0.207,0.362,0.323,0.378,0.319
Seq_250,0.471,0.204,0.325,0.42,0.306,0.323
Seq_251,0.512,0.26,0.228,0.341,0.333,0.301
Seq_252,0.459,0.249,0.292,0.368,0.328,0.243
Seq_253,0.442,0.232,0.325,0.417,0.371,0.218
Seq_254,0.456,0.21,0.333,0.404,0.27,0.319
Seq_255,0.409,0.281,0.31,0.384,0.321,0.3
Seq_256,0.457,0.293,0.25,0.423,0.358,0.22
Seq_257,0.382,0.226,0.392,0.358,0.334,0.399
Seq_258,0.5,0.282,0.218,0.483,0.316,0.132
Seq_259,0.398,0.264,0.338,0.318,0.393,0.327
Seq_260,0.483,0.264,0.252,0.438,0.328,0.213
Seq_261,0.378,0.237,0.385,0.355,0.363,0.332
Seq_262,0.493,0.26,0.247,0.425,0.329,0.178
Seq_263,0.431,0.224,0.344,0.342,0.373,0.325
Seq_264,0.441,0.271,0.288,0.424,0.316,0.226
Seq_265,0.606,0.254,0.141,0.437,0.31,0.197
Seq_266,0.463,0.316,0.221,0.395,0.347,0.216
Seq_267,0.41,0.315,0.275,0.38,0.34,0.262
Seq_268,0.497,0.259,0.243,0.438,0.281,0.173
Seq_269,0.384,0.226,0.39,0.35,0.288,0.41
Seq_270,0.437,0.301,0.262,0.476,0.319,0.197
Seq_271,0.501,0.259,0.239,0.459,0.288,0.211
Seq_272,0.483,0.238,0.28,0.395,0.366,0.208
Seq_273,0.403,0.259,0.338,0.439,0.281,0.263
Seq_274,0.481,0.246,0.273,0.432,0.295,0.18
Seq_275,0.49,0.256,0.254,0.443,0.326,0.214
Seq_276,0.531,0.251,0.219,0.429,0.345,0.206
Seq_277,0.462,0.243,0.295,0.416,0.316,0.27
Seq_278,0.463,0.296,0.241,0.333,0.324,0.324
Seq_279,0.544,0.209,0.247,0.468,0.304,0.195
Seq_280,0.648,0.148,0.204,0.389,0.306,0.231
Seq_281,0.406,0.199,0.395,0.364,0.308,0.391
Seq_282,0.503,0.232,0.266,0.407,0.305,0.271
Seq_283,0.426,0.266,0.308,0.401,0.343,0.232
Seq_284,0.511,0.253,0.236,0.379,0.324,0.286
Seq_285,0.512,0.22,0.269,0.502,0.262,0.217
Seq_286,0.504,0.244,0.252,0.328,0.328,0.336
Seq_287,0.491,0.195,0.314,0.355,0.373,0.31
Seq_288,0.48,0.232,0.288,0.332,0.376,0.296
Seq_289,0.384,0.243,0.373,0.347,0.317,0.384
Seq_290,0.524,0.16,0.316,0.378,0.306,0.316
Seq_291,0.359,0.1,0.541,0.64,0.192,0.154
Seq_292,0.508,0.211,0.281,0.42,0.323,0.242
Seq_293,0.538,0.131,0.331,0.256,0.406,0.281
Seq_294,0.476,0.21,0.313,0.303,0.361,0.344
Seq_295,0.374,0.234,0.391,0.43,0.316,0.251
Seq_296,0.438,0.235,0.327,0.335,0.391,0.299
Seq_297,0.429,0.301,0.27,0.365,0.348,0.286
Seq_298,0.435,0.287,0.278,0.398,0.361,0.176
Seq_299,0.425,0.214,0.361,0.417,0.352,0.234
Seq_300,0.395,0.206,0.399,0.407,0.366,0.234
Seq_301,0.545,0.167,0.288,0.485,0.288,0.189
Seq_302,0.545,0.167,0.288,0.485,0.288,0.189
Seq_303,0.405,0.194,0.401,0.328,0.34,0.366
Seq_304,0.485,0.272,0.243,0.476,0.223,0.175
Seq_305,0.581,0.171,0.248,0.481,0.302,0.163
Seq_306,0.577,0.177,0.246,0.469,0.292,0.177
Seq_307,0.554,0.185,0.262,0.469,0.292,0.185
Seq_308,0.469,0.275,0.256,0.411,0.3,0.258
Seq_309,0.422,0.265,0.314,0.368,0.376,0.26
Seq_310,0.557,0.265,0.178,0.439,0.383,0.167
Seq_311,0.469,0.268,0.263,0.343,0.385,0.3
Seq_312,0.426,0.285,0.29,0.405,0.348,0.241
Seq_313,0.442,0.27,0.287,0.425,0.335,0.218
Seq_314,0.495,0.225,0.279,0.384,0.363,0.213
Seq_315,0.415,0.299,0.286,0.446,0.335,0.183
Seq_316,0.477,0.271,0.252,0.419,0.349,0.225
Seq_317,0.589,0.202,0.21,0.363,0.403,0.21
Seq_318,0.509,0.222,0.269,0.37,0.38,0.275
Seq_319,0.488,0.253,0.259,0.435,0.323,0.21
Seq_320,0.502,0.238,0.26,0.405,0.295,0.274
Seq_321,0.394,0.317,0.289,0.423,0.306,0.284
Seq_322,0.436,0.33,0.234,0.532,0.234,0.191
Seq_323,0.414,0.235,0.351,0.403,0.295,0.287
Seq_324,0.392,0.276,0.332,0.329,0.476,0.192
Seq_325,0.538,0.237,0.224,0.378,0.318,0.288
Seq_326,0.447,0.292,0.261,0.411,0.339,0.219
Seq_327,0.481,0.242,0.277,0.443,0.262,0.219
Seq_328,0.413,0.294,0.292,0.36,0.364,0.279
Seq_329,0.492,0.25,0.258,0.388,0.351,0.256
Seq_330,0.469,0.254,0.277,0.347,0.326,0.28
Seq_331,0.474,0.232,0.294,0.486,0.212,0.264
Seq_332,0.427,0.251,0.322,0.45,0.322,0.253
Seq_333,0.526,0.2,0.274,0.499,0.271,0.231
Seq_334,0.488,0.244,0.268,0.283,0.331,0.346
Seq_335,0.489,0.252,0.26,0.336,0.321,0.336
Seq_336,0.518,0.223,0.259,0.445,0.25,0.241
Seq_337,0.515,0.215,0.27,0.31,0.442,0.212
Seq_338,0.405,0.285,0.311,0.391,0.336,0.306
Seq_339,0.376,0.319,0.305,0.455,0.312,0.226
Seq_340,0.473,0.228,0.298,0.46,0.331,0.226
Seq_341,0.475,0.183,0.342,0.384,0.384,0.26
Seq_342,0.455,0.285,0.261,0.38,0.339,0.257
Seq_343,0.387,0.249,0.364,0.289,0.403,0.367
Seq_344,0.405,0.345,0.25,0.422,0.293,0.267
Seq_345,0.417,0.249,0.334,0.374,0.363,0.265
Seq_346,0.445,0.305,0.25,0.455,0.315,0.235
Seq_347,0.445,0.267,0.287,0.433,0.348,0.263
Seq_348,0.383,0.362,0.255,0.435,0.326,0.239
Seq_349,0.412,0.211,0.377,0.308,0.318,0.439
Seq_350,0.532,0.223,0.245,0.362,0.33,0.277
Seq_351,0.479,0.182,0.339,0.319,0.395,0.339
Seq_352,0.442,0.298,0.26,0.452,0.25,0.279
Seq_353,0.52,0.244,0.236,0.476,0.276,0.196
Seq_354,0.473,0.28,0.247,0.406,0.334,0.249
Seq_355,0.481,0.281,0.238,0.445,0.328,0.21
Seq_356,0.387,0.258,0.355,0.359,0.348,0.357
Seq_357,0.572,0.179,0.249,0.516,0.26,0.204
Seq_358,0.313,0.256,0.431,0.346,0.37,0.36
Seq_359,0.435,0.265,0.3,0.394,0.382,0.224
Seq_360,0.403,0.246,0.351,0.332,0.328,0.37
Seq_361,0.454,0.294,0.253,0.382,0.365,0.242
Seq_362,0.498,0.145,0.357,0.386,0.278,0.355
Seq_363,0.494,0.258,0.247,0.494,0.337,0.135
Seq_364,0.388,0.223,0.388,0.357,0.284,0.396
Seq_365,0.439,0.285,0.275,0.505,0.272,0.22
Seq_366,0.496,0.281,0.222,0.415,0.348,0.207
Seq_367,0.5,0.293,0.207,0.443,0.314,0.243
Seq_368,0.484,0.167,0.35,0.313,0.412,0.321
Seq_369,0.529,0.221,0.25,0.394,0.379,0.187
Seq_370,0.463,0.272,0.265,0.382,0.372,0.214
Seq_371,0.503,0.281,0.216,0.415,0.322,0.211
Seq_372,0.477,0.283,0.24,0.427,0.312,0.244
Seq_373,0.469,0.272,0.259,0.456,0.276,0.234
Seq_374,0.476,0.22,0.305,0.39,0.345,0.266
Seq_375,0.53,0.242,0.227,0.348,0.424,0.182
Seq_376,0.398,0.148,0.455,0.391,0.291,0.364
Seq_377,0.51,0.265,0.225,0.371,0.364,0.219
Seq_378,0.49,0.252,0.259,0.371,0.301,0.245
Seq_379,0.387,0.278,0.335,0.374,0.359,0.267
Seq_380,0.5,0.211,0.289,0.423,0.299,0.265
Seq_381,0.559,0.204,0.237,0.29,0.473,0.237
Seq_382,0.405,0.294,0.301,0.433,0.317,0.257
Seq_383,0.434,0.258,0.308,0.376,0.349,0.257
Seq_384,0.434,0.253,0.313,0.377,0.344,0.243
Seq_385,0.423,0.304,0.273,0.42,0.353,0.209
Seq_386,0.388,0.274,0.338,0.388,0.361,0.268
Seq_387,0.461,0.158,0.382,0.325,0.306,0.397
Seq_388,0.404,0.192,0.404,0.381,0.374,0.377
Seq_389,0.466,0.173,0.361,0.383,0.351,0.351
Seq_390,0.414,0.254,0.332,0.352,0.361,0.314
Seq_391,0.512,0.256,0.231,0.45,0.306,0.206
Seq_392,0.424,0.255,0.322,0.398,0.333,0.296
Seq_393,0.374,0.352,0.274,0.486,0.257,0.263
Seq_394,0.545,0.231,0.224,0.448,0.302,0.198
Seq_395,0.576,0.212,0.212,0.408,0.332,0.204
Seq_396,0.519,0.245,0.236,0.42,0.302,0.259
Seq_397,0.486,0.24,0.274,0.43,0.291,0.226
Seq_398,0.5,0.27,0.23,0.434,0.352,0.197
Seq_399,0.442,0.279,0.279,0.471,0.375,0.125
Seq_400,0.495,0.333,0.172,0.419,0.333,0.197
Seq_401,0.602,0.146,0.252,0.439,0.333,0.211
Seq_402,0.548,0.194,0.258,0.441,0.333,0.194
Seq_403,0.608,0.216,0.176,0.275,0.392,0.196
Seq_404,0.505,0.271,0.223,0.426,0.239,0.277
Seq_405,0.515,0.233,0.252,0.431,0.336,0.271
Seq_406,0.47,0.196,0.333,0.281,0.378,0.307
Seq_407,0.439,0.284,0.277,0.439,0.339,0.204
Seq_408,0.496,0.263,0.241,0.389,0.332,0.263
Seq_409,0.53,0.217,0.252,0.417,0.357,0.174
Seq_410,0.506,0.203,0.29,0.386,0.382,0.178
Seq_411,0.385,0.309,0.306,0.434,0.318,0.248
Seq_412,0.462,0.231,0.307,0.415,0.377,0.179
Seq_413,0.523,0.265,0.212,0.5,0.356,0.121
Seq_414,0.557,0.251,0.192,0.433,0.315,0.187
Seq_415,0.523,0.261,0.216,0.491,0.343,0.152
Seq_416,0.432,0.315,0.252,0.404,0.35,0.243
Seq_417,0.531,0.238,0.231,0.408,0.277,0.192
Seq_418,0.552,0.228,0.221,0.345,0.324,0.283
Seq_419,0.379,0.317,0.303,0.448,0.269,0.276
Seq_420,0.445,0.328,0.227,0.387,0.319,0.269
Seq_421,0.526,0.2,0.274,0.432,0.242,0.253
Seq_422,0.454,0.259,0.287,0.397,0.328,0.293
Seq_423,0.484,0.255,0.261,0.36,0.373,0.28
Seq_424,0.469,0.242,0.289,0.469,0.273,0.18
Seq_425,0.459,0.24,0.301,0.422,0.341,0.226
Seq_426,0.658,0.217,0.125,0.367,0.4,0.175
Seq_427,0.429,0.304,0.268,0.411,0.25,0.214
Seq_428,0.482,0.224,0.294,0.482,0.282,0.153
Seq_429,0.466,0.216,0.318,0.511,0.25,0.17
Seq_430,0.482,0.235,0.282,0.471,0.259,0.153
Seq_431,0.44,0.242,0.319,0.505,0.297,0.154
Seq_432,0.543,0.228,0.228,0.504,0.228,0.157
Seq_433,0.533,0.257,0.21,0.495,0.305,0.148
Seq_434,0.588,0.221,0.191,0.422,0.337,0.156
Seq_435,0.491,0.309,0.2,0.327,0.364,0.273
Seq_436,0.423,0.308,0.269,0.452,0.321,0.21
Seq_437,0.46,0.317,0.224,0.441,0.379,0.217
Seq_438,0.424,0.32,0.256,0.448,0.305,0.236
Seq_439,0.527,0.309,0.164,0.345,0.382,0.255
Seq_440,0.439,0.333,0.227,0.364,0.303,0.258
Seq_441,0.644,0.221,0.135,0.442,0.337,0.125
Seq_442,0.412,0.245,0.343,0.363,0.314,0.324
Seq_443,0.552,0.276,0.172,0.333,0.299,0.218
Seq_444,0.517,0.25,0.233,0.35,0.35,0.367
Seq_445,0.418,0.319,0.263,0.466,0.353,0.19
Seq_446,0.489,0.27,0.241,0.461,0.362,0.227
Seq_447,0.461,0.27,0.27,0.475,0.34,0.206
Seq_448,0.492,0.305,0.203,0.39,0.356,0.22
Seq_449,0.429,0.349,0.222,0.524,0.286,0.206
Seq_450,0.561,0.26,0.179,0.463,0.39,0.179
Seq_451,0.561,0.26,0.179,0.463,0.382,0.179
Seq_452,0.393,0.306,0.301,0.418,0.286,0.25
Seq_453,0.574,0.178,0.248,0.396,0.317,0.188
Seq_454,0.5,0.152,0.348,0.212,0.485,0.242
Seq_455,0.409,0.317,0.274,0.353,0.391,0.248
Seq_456,0.502,0.247,0.251,0.47,0.33,0.209
Seq_457,0.524,0.222,0.254,0.333,0.365,0.27
Seq_458,0.546,0.238,0.215,0.464,0.347,0.156
Seq_459,0.467,0.283,0.25,0.38,0.337,0.272
Seq_460,0.5,0.257,0.243,0.493,0.25,0.264
Seq_461,0.466,0.236,0.298,0.452,0.262,0.252
Seq_462,0.588,0.236,0.176,0.509,0.267,0.182
