ID,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
Seq_100,-0.014,-0.541,-0.501,-0.452,0.29
Seq_101,0.259,-0.339,-0.244,-0.528,0.071
Seq_102,0.228,-0.397,-0.163,-0.374,0.198
Seq_103,0.126,-0.692,-0.337,-0.445,0.334
Seq_104,0.259,-0.494,-0.269,-0.333,0.132
Seq_105,0.334,-0.119,0.045,-0.321,0.143
Seq_106,0.221,-0.405,-0.192,-0.503,0.033
Seq_107,0.552,-0.429,0.12,-0.375,0.345
Seq_108,0.208,-0.22,-0.665,-0.455,0.054
Seq_109,0.387,-0.589,-0.727,-0.315,0.354
Seq_110,-0.158,-0.418,-0.439,-0.414,0.183
Seq_111,-0.017,-0.38,-0.585,-0.52,0.17
Seq_112,0.532,-0.285,-0.311,-0.45,0.241
Seq_113,0.249,-0.504,-0.005,-0.251,0.251
Seq_114,0.12,-0.445,-0.35,-0.444,0.166
Seq_115,0.454,-0.312,-0.184,-0.338,0.249
Seq_116,0.218,-0.335,-0.188,-0.316,0.142
Seq_117,0.325,-0.476,-0.19,-0.276,0.293
Seq_118,0.295,-0.482,-0.477,-0.324,0.132
Seq_119,0.214,-0.341,-0.113,-0.391,0.082
Seq_120,0.369,-0.619,0.062,-0.207,0.445
Seq_121,0.31,-0.671,-0.198,-0.438,0.276
Seq_122,-0.1,-0.355,-0.644,-0.515,0.066
Seq_123,0.182,-0.664,-0.398,-0.502,0.189
Seq_124,0.155,-0.413,-0.598,-0.386,0.145
Seq_125,0.324,-0.465,-0.176,-0.633,0.161
Seq_126,0.135,-0.552,-0.701,-0.545,0.23
Seq_127,0.082,-0.514,-0.592,-0.557,0.069
Seq_128,0.33,-0.514,-0.016,-0.487,0.139
Seq_129,0.184,-0.907,-0.055,-0.444,0.518
Seq_130,0.428,-0.446,0.076,-0.082,0.202
Seq_131,0.494,-0.404,-0.502,-0.261,-0.055
Seq_132,0.094,-0.298,-0.42,-0.446,0.103
Seq_133,0.211,-0.35,-0.565,-0.51,0.045
Seq_134,0.232,-0.532,-0.125,-0.387,0.099
Seq_135,0.1,-0.418,-0.482,-0.428,0.043
Seq_136,0.454,-0.553,0.098,-0.323,0.267
Seq_137,-0.061,-0.229,-0.207,-0.091,-0.021
Seq_138,0.176,-0.463,-0.067,-0.289,0.376
Seq_139,0.179,-0.442,-0.43,-0.38,0.11
Seq_140,0.054,-0.229,-0.332,-0.421,0.104
Seq_141,0.058,-0.319,-0.236,-0.444,0.15
Seq_142,0.657,-0.244,-0.237,-0.6,0.147
Seq_143,0.059,-0.496,-0.448,-0.407,0.149
Seq_144,0.504,-0.365,-0.201,-0.481,0.168
Seq_145,1.173,0.011,-0.209,-0.399,0.169
Seq_146,-0.126,-0.529,-0.819,-0.504,0.116
Seq_147,0.01,-0.411,-0.585,-0.386,0.111
Seq_148,0.174,-0.177,-0.249,-0.233,0.162
Seq_149,0.114,-0.191,-0.313,-0.377,0.026
Seq_150,0.418,-0.485,-0.149,-0.185,0.279
Seq_151,0.211,-0.583,0.008,-0.271,0.413
Seq_152,0.371,-0.486,-0.066,-0.473,0.282
Seq_153,0.411,-0.378,-0.462,-0.314,0.152
Seq_154,0.675,-0.405,-0.185,-0.424,0.267
Seq_155,0.135,-0.363,-0.143,-0.32,0.258
Seq_156,0.017,-0.668,-0.161,-0.395,0.354
Seq_157,0.53,-0.258,-0.299,-0.398,0.086
Seq_158,0.239,-0.454,0.027,-0.195,0.269
Seq_159,0.125,-0.526,0.104,-0.095,0.411
Seq_160,0.475,-0.657,0.049,-0.188,0.118
Seq_161,0.27,-0.185,-0.185,-0.254,0.028
Seq_162,-0.242,-0.041,-0.445,-0.248,0.163
Seq_163,0.207,-0.245,-0.398,-0.427,0.186
Seq_164,-0.081,-0.754,-0.435,-0.476,0.261
Seq_165,0.075,-0.704,-0.275,-0.407,0.197
Seq_166,0.074,-0.287,-0.521,-0.398,0.114
Seq_167,0.134,-0.291,-0.519,-0.366,0.099
Seq_168,0.032,-0.295,-0.54,-0.408,0.091
Seq_169,0.011,-0.483,-0.352,-0.475,0.117
Seq_170,0.299,-0.6,0.068,-0.44,-0.038
Seq_171,0.217,-0.239,-0.031,-0.25,0.202
Seq_172,-0.144,-0.429,-0.457,-0.416,0.256
Seq_173,0.284,-0.082,-0.308,-0.351,0.079
Seq_174,-0.028,-0.432,-0.549,-0.446,0.121
Seq_175,0.221,-0.396,-0.315,-0.321,0.092
Seq_176,0.302,-0.416,-0.113,-0.304,0.114
Seq_177,0.249,-0.486,-0.367,-0.273,0.058
Seq_178,0.324,-0.593,-0.54,-0.577,0.184
Seq_179,-0.052,-0.212,-0.414,-0.538,0.101
Seq_180,0.114,-0.258,-0.465,-0.435,0.092
Seq_181,0.418,-0.552,-0.193,-0.453,0.367
Seq_182,0.424,-0.151,-0.596,-0.206,-0.024
Seq_183,-0.037,-0.271,-0.346,-0.332,0.012
Seq_184,-0.03,-0.167,-0.352,-0.387,0.041
Seq_185,0.156,-0.227,-0.385,-0.487,0.068
Seq_186,0.116,-0.311,-0.486,-0.41,0.051
Seq_187,0.235,-0.137,-0.49,-0.443,-0.013
Seq_188,0.339,-0.516,-0.701,-0.429,0.08
Seq_189,0.56,-0.554,-0.05,-0.462,0.217
Seq_190,0.376,-0.321,-0.245,-0.695,0.219
Seq_191,0.234,-0.462,-0.072,-0.157,0.289
Seq_192,0.351,-0.602,-0.417,-0.532,0.26
Seq_193,0.328,-0.727,-0.128,-0.48,0.141
Seq_194,-0.123,-0.44,-0.454,-0.327,0.142
Seq_195,0.24,-0.546,-0.401,-0.522,0.163
Seq_196,0.006,-0.228,-0.602,-0.211,0.14
Seq_197,0.298,-0.331,-0.188,-0.402,0.107
Seq_198,0.404,-0.254,-0.539,-0.663,0.137
Seq_199,0.147,-0.489,-0.411,-0.359,0.18
Seq_200,0.245,-0.371,-0.17,-0.407,0.342
Seq_201,0.164,-0.454,-0.215,-0.375,0.15
Seq_202,0.515,-0.06,-0.699,-0.259,0.123
Seq_203,0.363,-0.204,-0.365,-0.461,0.111
Seq_204,0.264,-0.543,-0.435,-0.459,0.174
Seq_205,0.044,-0.609,0.11,-0.324,0.269
Seq_206,0.309,-0.447,-0.584,-0.27,0.149
Seq_207,0.243,-0.711,-0.301,-0.672,0.237
Seq_208,0.458,-0.396,-0.315,-0.362,-0.078
Seq_209,0.493,-0.167,-0.346,-0.357,-0.017
Seq_210,0.05,-0.423,-0.331,-0.364,0.137
Seq_211,0.115,-0.484,-0.338,-0.456,0.155
Seq_212,0.51,-0.438,-0.384,-0.319,0.276
Seq_213,0.015,-0.137,-0.567,-0.41,0.061
Seq_214,0.695,-0.27,-0.22,-0.5,0.153
Seq_215,0.131,-0.678,-0.523,-0.363,0.2
Seq_216,-0.094,-0.412,-0.373,-0.426,0.132
Seq_217,0.388,-0.559,0.054,-0.567,0.293
Seq_218,0.211,-0.503,-0.31,-0.333,0.083
Seq_219,0.109,-0.427,-0.329,-0.425,0.145
Seq_220,0.506,-0.466,-0.115,-0.375,0.11
Seq_221,0.245,-0.497,-0.048,-0.364,0.326
Seq_222,0.316,-0.26,-0.549,-0.288,0.223
Seq_223,0.28,-0.295,-0.113,-0.411,0.154
Seq_224,0.156,-0.363,-0.451,-0.469,0.163
Seq_225,0.163,-0.393,-0.375,-0.448,0.152
Seq_226,0.518,-0.383,-0.317,-0.487,0.081
Seq_227,0.505,-0.719,-0.461,-0.452,0.275
Seq_228,0.182,-0.463,-0.398,-0.472,0.105
Seq_229,0.332,-0.42,-0.612,-0.378,0.159
Seq_230,0.57,-0.664,-0.444,-0.489,0.273
Seq_231,0.467,-0.297,-0.028,-0.331,0.353
Seq_232,0.244,-0.142,-0.42,-0.373,0.003
Seq_233,0.213,-0.453,-0.317,-0.509,0.134
Seq_234,-0.106,-0.346,-0.382,-0.351,0.191
Seq_235,0.187,-0.07,-0.362,-0.465,-0.073
Seq_236,0.726,-0.866,-0.05,-0.357,0.079
Seq_237,0.201,-0.273,0.019,-0.239,0.116
Seq_238,0.136,-0.379,-0.264,-0.212,0.232
Seq_239,0.131,-0.581,0.043,-0.414,0.274
Seq_240,0.028,-0.548,-0.234,-0.342,0.267
Seq_241,0.563,-0.489,-0.578,-0.173,0.246
Seq_242,0.575,-0.491,-0.579,-0.198,0.231
Seq_243,0.587,-0.462,-0.57,-0.193,0.238
Seq_244,0.611,-0.455,-0.591,-0.2,0.219
Seq_245,0.511,-0.527,-0.674,-0.258,0.195
Seq_246,0.061,-0.422,-0.329,-0.428,0.146
Seq_247,0.177,-0.31,-0.364,-0.696,0.012
Seq_248,0.851,-0.232,-0.412,-0.434,0.263
Seq_249,0.161,0.117,-0.494,-0.123,-0.051
Seq_250,0.608,-0.299,-0.078,-0.561,0.253
Seq_251,0.065,-0.422,-0.08,-0.128,0.307
Seq_252,0.532,-0.453,-0.64,-0.177,0.211
Seq_253,0.327,-0.108,-0.503,-0.248,0.092
Seq_254,0.617,-0.676,-0.306,-0.507,0.173
Seq_255,0.65,-0.534,-0.059,-0.201,0.176
Seq_256,0.297,-0.458,-0.197,-0.41,0.089
Seq_257,0.09,-0.377,-0.466,-0.341,0.066
Seq_258,0.232,-0.52,0.049,-0.344,0.356
Seq_259,0.152,-0.563,-0.612,-0.66,0.182
Seq_260,0.396,-0.261,-0.213,-0.383,0.173
Seq_261,0.225,-0.632,-0.479,-0.61,0.211
Seq_262,0.392,-0.522,-0.097,-0.53,0.388
Seq_263,0.513,-0.465,-0.425,-0.687,0.081
Seq_264,0.557,-0.393,-0.072,-0.334,0.181
Seq_265,0.015,-0.252,-0.367,-0.416,0.033
Seq_266,0.069,-0.536,-0.798,-0.22,0.186
Seq_267,0.204,-0.285,-0.616,-0.434,0.124
Seq_268,0.154,-0.145,-0.276,-0.399,0.006
Seq_269,0.507,-0.616,-0.699,-0.514,0.191
Seq_270,0.25,-0.499,-0.025,-0.31,0.32
Seq_271,-0.03,-0.581,-0.483,-0.477,0.177
Seq_272,0.107,-0.471,-0.462,-0.286,0.187
Seq_273,0.37,-0.187,-0.3,-0.444,0.127
Seq_274,0.253,-0.554,-0.236,-0.403,0.176
Seq_275,0.465,-0.576,-0.602,-0.461,0.148
Seq_276,0.206,-0.414,-0.358,-0.343,0.23
Seq_277,0.102,-0.419,-0.479,-0.48,0.206
Seq_278,0.135,-0.462,-0.225,-0.372,0.183
Seq_279,0.279,-0.208,-0.395,-0.248,0.0
Seq_280,0.156,-0.53,-0.487,-0.393,0.253
Seq_281,0.378,-0.313,-0.596,-0.382,0.336
Seq_282,0.382,-0.485,0.075,-0.223,0.314
Seq_283,0.044,-0.302,-0.327,-0.442,0.285
Seq_284,0.215,-0.279,-0.378,-0.44,0.054
Seq_285,0.001,-0.26,-0.422,-0.432,0.176
Seq_286,0.126,-0.798,-0.364,-0.416,0.266
Seq_287,0.645,-0.556,-0.492,-0.351,0.298
Seq_288,0.273,-0.427,-0.192,-0.427,0.206
Seq_289,0.425,-0.15,-0.289,-0.357,0.192
Seq_290,0.287,-0.384,-0.009,-0.319,0.152
Seq_291,0.56,-0.387,-0.155,-0.252,0.288
Seq_292,1.175,-1.765,0.075,-0.417,0.174
Seq_293,0.18,-0.491,-0.378,-0.395,0.243
Seq_294,1.167,-0.047,-0.282,-0.53,0.288
Seq_295,0.352,-0.046,-0.275,-0.224,0.194
Seq_296,0.496,-0.615,-0.044,-0.451,0.022
Seq_297,0.416,-0.354,-0.242,-0.6,0.287
Seq_298,0.137,-0.207,-0.353,-0.368,0.11
Seq_299,0.342,-0.061,-0.584,-0.254,-0.021
Seq_300,0.678,-0.615,-0.237,-0.365,0.191
Seq_301,0.767,-0.619,-0.165,-0.462,0.221
Seq_302,0.362,-0.753,-0.539,-0.314,0.279
Seq_303,0.362,-0.753,-0.539,-0.314,0.279
Seq_304,0.587,-0.429,0.014,-0.412,0.309
Seq_305,0.516,-0.747,-0.932,-0.126,0.027
Seq_306,0.386,-0.664,-0.694,-0.202,0.279
Seq_307,0.422,-0.649,-0.725,-0.186,0.24
Seq_308,0.41,-0.738,-0.692,-0.294,0.245
Seq_309,-0.001,-0.21,-0.374,-0.323,0.111
Seq_310,0.201,-0.287,-0.328,-0.543,0.106
Seq_311,-0.027,-0.298,-0.538,-0.454,0.161
Seq_312,0.329,-0.304,-0.28,-0.391,0.149
Seq_313,0.255,-0.36,-0.282,-0.449,0.092
Seq_314,0.338,-0.554,-0.406,-0.504,0.081
Seq_315,0.459,-0.403,-0.506,-0.534,0.219
Seq_316,0.071,-0.406,-0.471,-0.539,0.038
Seq_317,0.094,-0.492,-0.429,-0.49,0.126
Seq_318,0.554,-0.352,-0.672,-0.372,0.18
Seq_319,0.499,-0.726,-0.414,-0.576,0.333
Seq_320,0.196,-0.36,-0.378,-0.411,0.166
Seq_321,0.151,-0.265,-0.412,-0.107,0.149
Seq_322,-0.062,-0.456,-0.254,-0.456,0.102
Seq_323,-0.363,-0.692,-0.511,-0.439,0.055
Seq_324,0.497,-0.509,-0.161,-0.421,0.208
Seq_325,0.838,-0.328,-0.251,-0.943,-0.055
Seq_326,0.001,-0.18,-0.373,-0.227,0.178
Seq_327,0.222,-0.413,-0.447,-0.555,0.133
Seq_328,0.28,-0.416,-0.408,-0.304,0.114
Seq_329,0.398,-0.329,-0.303,-0.442,0.013
Seq_330,0.279,-0.318,-0.431,-0.221,0.133
Seq_331,0.748,-0.178,-0.31,-0.169,-0.03
Seq_332,0.233,-0.769,-0.313,-0.357,0.331
Seq_333,0.078,-0.542,-0.226,-0.398,0.241
Seq_334,0.038,-0.661,-0.272,-0.314,0.344
Seq_335,0.368,0.07,-0.417,-0.237,0.019
Seq_336,0.599,-0.577,-0.484,-0.373,0.294
Seq_337,0.282,-0.56,-0.347,-0.382,0.281
Seq_338,0.73,-0.11,-0.476,-0.513,0.042
Seq_339,0.122,-0.307,-0.1,-0.302,0.058
Seq_340,-0.174,-0.376,-0.383,-0.4,0.014
Seq_341,0.267,-0.748,-0.391,-0.377,0.245
Seq_342,0.746,-0.644,-0.032,-0.636,0.16
Seq_343,0.346,-0.302,-0.415,-0.448,0.164
Seq_344,0.37,-0.145,0.059,-0.433,0.045
Seq_345,-0.085,-0.446,-0.389,-0.46,-0.039
Seq_346,0.439,-0.457,-0.243,-0.593,0.134
Seq_347,-0.129,-0.482,-0.383,-0.312,0.171
Seq_348,-0.035,-0.358,-0.271,-0.313,0.24
Seq_349,0.005,-0.41,-0.36,-0.419,0.048
Seq_350,0.405,-0.342,0.047,-0.258,0.287
Seq_351,0.515,-0.389,-0.515,-0.271,0.158
Seq_352,0.49,-0.226,0.016,-0.401,0.232
Seq_353,0.243,-0.672,-0.314,-0.243,0.085
Seq_354,0.027,-0.484,-0.529,-0.402,0.256
Seq_355,0.273,-0.334,-0.244,-0.311,0.07
Seq_356,0.079,-0.35,-0.361,-0.387,0.172
Seq_357,0.145,-0.249,0.018,-0.236,0.157
Seq_358,-0.02,-0.681,-0.455,-0.316,0.333
Seq_359,0.532,-0.625,-0.057,-0.437,0.186
Seq_360,0.07,-0.251,-0.471,-0.454,0.244
Seq_361,0.405,-0.43,-0.187,-0.362,0.214
Seq_362,0.156,-0.247,-0.478,-0.389,0.085
Seq_363,0.73,-0.519,0.022,-0.175,0.357
Seq_364,0.298,-0.463,-0.245,-0.373,0.028
Seq_365,0.46,-0.537,0.045,-0.337,0.243
Seq_366,-0.078,-0.682,-0.35,-0.359,0.28
Seq_367,0.127,-0.362,-0.469,-0.522,0.071
Seq_368,-0.202,-0.393,-0.452,-0.271,0.108
Seq_369,0.83,-0.516,-0.348,-0.271,0.382
Seq_370,0.481,-0.25,-0.405,-0.361,0.056
Seq_371,0.272,-0.278,-0.578,-0.515,0.169
Seq_372,0.213,-0.391,-0.55,-0.519,0.152
Seq_373,-0.027,-0.311,-0.336,-0.403,0.097
Seq_374,0.078,-0.403,-0.374,-0.365,0.116
Seq_375,0.399,-0.417,-0.208,-0.447,0.216
Seq_376,0.735,-0.312,-0.679,-0.257,0.062
Seq_377,0.679,-0.724,0.164,-0.423,0.381
Seq_378,0.294,-0.366,-0.697,-0.508,0.157
Seq_379,0.666,-0.285,-0.454,-0.409,0.186
Seq_380,0.221,-0.228,-0.144,-0.571,0.013
Seq_381,0.293,-0.489,-0.285,-0.245,0.252
Seq_382,0.702,-0.019,-0.502,-0.262,0.18
Seq_383,-0.092,-0.41,-0.355,-0.386,0.07
Seq_384,0.539,-0.326,-0.242,-0.366,0.068
Seq_385,0.628,-0.305,-0.223,-0.384,0.04
Seq_386,-0.039,-0.247,-0.428,-0.506,0.077
Seq_387,0.012,-0.311,-0.289,-0.478,0.127
Seq_388,0.467,-0.513,-0.067,-0.157,0.157
Seq_389,0.083,-0.504,0.064,-0.168,0.473
Seq_390,0.262,-0.471,-0.041,-0.152,0.411
Seq_391,0.395,-0.254,-0.062,-0.439,0.126
Seq_392,0.191,-0.529,-0.62,-0.235,0.217
Seq_393,0.157,-0.428,-0.186,-0.351,0.182
Seq_394,-0.022,-0.768,-0.385,-0.263,0.154
Seq_395,0.206,-0.461,-0.661,-0.237,0.15
Seq_396,0.162,-0.049,-0.606,-0.079,0.2
Seq_397,0.042,-0.28,-0.487,-0.085,0.189
Seq_398,0.473,-0.463,-0.446,-0.191,0.135
Seq_399,0.109,-0.354,-0.602,-0.275,0.16
Seq_400,0.465,-0.652,-0.641,-0.351,0.151
Seq_401,0.068,-0.347,-0.74,-0.269,0.11
Seq_402,0.234,-0.433,-0.447,-0.217,0.338
Seq_403,0.187,-0.307,-0.387,-0.382,0.223
Seq_404,0.582,0.485,-1.024,0.411,-0.031
Seq_405,0.054,-0.25,-0.55,0.069,0.162
Seq_406,-0.275,-0.472,-0.459,-0.239,0.316
Seq_407,0.893,0.008,-0.187,-0.278,0.204
Seq_408,0.195,-0.497,-0.375,-0.557,0.084
Seq_409,0.192,-0.346,-0.391,-0.411,0.165
Seq_410,0.341,-0.315,-0.545,-0.305,0.131
Seq_411,1.059,-0.596,-0.416,-0.748,0.198
Seq_412,0.188,-0.383,-0.21,-0.387,0.047
Seq_413,0.536,-0.567,-0.253,-0.79,0.214
Seq_414,0.375,-0.692,-0.351,-0.41,0.056
Seq_415,0.116,-0.281,-0.82,0.019,0.132
Seq_416,0.322,-0.833,-0.422,-0.557,0.176
Seq_417,-0.006,-0.238,-0.343,-0.345,0.015
Seq_418,0.534,-0.399,-0.809,-0.24,0.098
Seq_419,0.204,-0.197,-0.715,-0.049,0.138
Seq_420,0.098,-0.589,-0.349,-0.149,0.048
Seq_421,0.298,-0.578,-0.675,-0.292,0.163
Seq_422,0.248,-0.287,-0.655,0.207,0.195
Seq_423,0.224,-0.522,-0.442,-0.193,0.268
Seq_424,0.182,-0.241,-0.562,-0.075,0.196
Seq_425,0.018,-0.042,-0.536,0.171,-0.014
Seq_426,0.119,-0.352,-0.465,-0.26,0.199
Seq_427,0.394,-0.279,-1.01,-0.21,0.31
Seq_428,0.693,0.068,-0.287,0.174,-0.284
Seq_429,0.864,-0.695,-0.523,-0.138,0.08
Seq_430,0.659,-0.835,-0.508,-0.143,0.202
Seq_431,0.537,-0.545,-0.768,-0.094,0.057
Seq_432,0.581,-0.857,-0.49,-0.257,0.095
Seq_433,0.578,-0.702,-0.639,-0.207,0.238
Seq_434,0.057,-0.609,-0.67,-0.437,0.151
Seq_435,0.585,-0.258,-0.708,-0.129,0.259
Seq_436,0.47,-0.277,-0.734,-0.089,0.047
Seq_437,0.212,-0.572,-0.256,-0.561,0.064
Seq_438,0.129,-0.89,-0.529,-0.584,0.118
Seq_439,0.163,-0.7,-0.449,-0.455,0.112
Seq_440,0.385,-0.333,-0.901,-0.052,0.12
Seq_441,0.661,-0.304,-0.637,0.04,-0.162
Seq_442,0.562,-0.555,-1.124,-0.047,0.256
Seq_443,0.469,-0.517,-0.26,-0.501,0.157
Seq_444,0.484,0.124,-0.69,0.002,-0.189
Seq_445,0.327,-0.337,-0.203,0.333,0.239
Seq_446,0.264,-0.774,-0.442,-0.437,0.136
Seq_447,0.005,-0.798,-0.419,-0.329,0.279
Seq_448,0.154,-0.837,-0.356,-0.399,0.244
Seq_449,0.359,-0.727,-0.913,-0.493,0.147
Seq_450,-0.214,-0.845,-0.413,-0.215,0.089
Seq_451,0.124,-0.762,-0.506,-0.525,0.313
Seq_452,0.134,-0.749,-0.515,-0.521,0.309
Seq_453,0.258,-0.519,-0.408,-0.438,0.009
Seq_454,0.607,-0.17,-0.623,-0.04,0.23
Seq_455,1.323,0.236,-0.748,0.121,0.06
Seq_456,0.196,-0.155,-0.396,-0.535,-0.003
Seq_457,0.361,-0.966,-0.396,-0.754,0.293
Seq_458,0.54,-0.347,-0.843,0.103,0.154
Seq_459,0.289,-0.643,-0.544,-0.528,0.23
Seq_460,0.079,-0.355,-0.418,-0.547,0.062
Seq_461,-0.033,-0.747,-0.432,-0.108,0.206
Seq_462,0.22,-0.583,-0.422,-0.11,0.16
Seq_463,0.149,-0.795,-0.446,-0.392,0.282
Seq_464,0.26,-0.302,-0.392,-0.211,0.073
Seq_465,0.161,-0.667,-0.473,-0.159,0.172
Seq_466,0.422,-0.522,-0.514,-0.213,0.252
Seq_467,-0.223,-0.309,-0.547,0.198,0.161
Seq_468,0.846,-0.208,-0.898,-0.03,0.208
Seq_469,0.271,-0.493,-0.485,-0.259,0.254
Seq_470,0.328,-0.219,-0.678,0.009,0.353
Seq_471,0.619,-0.733,-0.469,-0.296,0.17
Seq_472,0.157,-0.513,-0.62,-0.249,0.207
Seq_473,-0.082,-0.813,-0.599,-0.525,0.144
Seq_474,0.388,-0.42,-0.546,-0.324,0.018
Seq_475,0.128,-0.53,-0.367,-0.366,0.206
Seq_476,0.675,-0.455,-0.919,0.026,0.394
Seq_477,0.427,-0.35,-0.416,-0.349,0.118
Seq_478,-0.109,-0.771,-0.243,-0.365,0.374
Seq_479,0.479,-0.299,-0.536,-0.223,0.131
