ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_21,28.17,553.82,30.49,45.06,42.61,18.00,111.15,36.83,38.49,34.12,91.30,22.66,68.83,61.00,59.09,19.37,23.35,27.24,105.37,39.27
Seq_22,24.24,140.49,23.33,25.48,40.60,34.29,81.98,25.27,27.02,30.59,49.35,54.81,21.29,66.32,55.08,79.74,22.47,12.35,85.38,62.80
Seq_23,43.59,205.40,35.43,28.89,47.29,35.95,166.78,43.82,18.08,24.65,68.94,35.63,44.75,45.18,45.91,29.78,32.96,36.57,118.60,138.83
Seq_24,18.18,159.78,30.15,40.13,34.02,18.78,65.39,29.24,36.07,25.66,109.90,44.20,44.91,100.27,26.54,48.88,35.99,26.12,62.48,29.72
Seq_25,18.50,66.38,32.15,40.53,43.71,13.29,54.35,26.34,41.45,22.01,71.17,56.27,28.18,56.27,29.53,37.06,25.98,19.45,91.61,132.89
Seq_26,36.25,94.62,30.98,30.17,33.17,24.04,87.51,41.40,34.52,17.11,67.82,47.45,38.57,81.62,39.28,29.10,30.33,36.12,161.86,58.83
Seq_27,42.62,214.04,53.40,69.02,52.41,19.92,101.42,27.15,13.72,21.19,43.12,49.87,32.38,53.57,31.78,34.31,19.79,21.59,0.00,92.57
Seq_28,29.79,195.20,35.58,20.64,31.52,19.61,75.14,17.41,20.68,32.99,105.15,68.88,31.78,185.65,37.57,31.77,62.09,21.42,241.91,29.66
Seq_29,20.77,126.84,21.77,30.41,45.39,14.88,46.66,27.70,25.84,13.54,95.89,51.91,30.63,22.52,24.14,31.51,28.90,20.92,0.00,32.30
Seq_30,17.14,119.27,24.03,33.26,49.32,24.43,43.34,30.01,40.25,28.62,55.55,76.71,25.08,85.19,42.61,75.03,35.09,22.61,114.96,47.94
Seq_31,22.80,94.69,46.29,21.10,33.57,21.57,78.36,30.27,28.23,17.73,70.45,30.73,65.38,70.82,42.95,33.60,26.76,38.80,150.62,56.41
Seq_32,58.55,61.53,25.17,39.26,57.30,25.15,109.29,27.71,22.64,39.00,76.52,25.91,29.77,46.97,47.73,19.90,21.81,35.56,60.50,32.44
Seq_33,10.35,77.68,11.34,25.05,15.92,18.67,0.00,29.18,12.56,16.59,0.00,69.12,0.00,41.36,60.79,16.41,33.88,19.50,94.79,68.05
Seq_34,23.12,166.98,28.39,39.41,45.09,23.44,137.51,28.51,35.15,23.27,79.01,27.18,36.27,110.07,34.37,30.72,24.70,31.67,65.86,48.93
Seq_35,34.03,141.38,19.51,14.76,33.41,46.85,62.28,15.33,26.40,10.04,69.89,44.04,90.21,21.77,117.42,28.04,28.68,21.02,0.00,28.48
Seq_36,16.83,67.37,30.75,29.01,33.80,15.19,42.58,39.75,44.08,12.64,59.47,29.15,30.65,44.95,34.45,36.80,78.82,19.49,60.51,37.01
Seq_37,41.26,70.32,25.56,25.36,41.66,12.54,24.21,13.61,14.34,24.32,69.56,36.12,14.55,57.18,36.09,33.21,24.97,18.91,53.71,21.60
Seq_38,15.24,55.47,38.89,22.75,51.82,13.91,68.88,25.05,28.02,25.62,68.68,45.98,85.77,36.30,53.79,19.44,25.00,19.46,85.44,51.52
Seq_39,15.97,145.26,30.77,26.76,35.66,20.77,80.02,52.46,76.20,12.86,43.23,58.96,19.30,44.08,17.45,42.52,68.32,22.17,58.61,49.28
Seq_40,43.09,0.00,28.34,28.77,64.82,34.55,191.45,12.23,16.97,25.62,86.04,30.41,23.53,90.71,31.42,41.84,43.01,14.63,0.00,37.96
Seq_41,49.29,61.13,35.89,24.15,91.81,14.85,77.37,26.83,26.96,21.40,113.88,34.47,69.16,54.91,40.88,24.87,42.25,29.51,67.64,62.70
Seq_42,29.04,146.95,42.35,34.83,36.61,25.59,79.62,38.46,103.49,19.61,144.40,24.63,15.55,35.29,33.59,30.80,26.02,21.53,151.00,45.40
Seq_43,57.92,273.96,28.91,31.16,29.42,46.33,275.43,20.11,22.53,22.52,85.24,18.10,60.68,54.87,78.58,23.08,27.26,32.48,167.21,35.66
Seq_44,19.82,110.86,62.42,60.83,108.94,42.54,48.00,38.63,18.79,36.25,62.71,39.68,25.72,82.39,22.60,42.05,32.99,34.23,95.13,55.26
Seq_45,24.92,40.79,27.99,21.69,34.27,25.07,49.18,53.58,44.56,30.58,198.98,47.80,51.88,44.53,26.93,31.98,27.08,34.34,81.29,52.98
Seq_46,42.36,84.56,49.31,31.48,66.35,36.59,222.29,26.32,41.97,23.14,122.73,33.06,64.61,43.39,47.02,29.27,24.29,32.95,94.58,63.06
Seq_47,18.41,345.01,47.51,52.72,21.49,22.86,78.19,21.49,70.15,14.30,53.34,64.87,24.70,113.09,57.21,46.85,36.77,21.36,38.64,32.30
Seq_48,33.49,0.00,17.30,28.71,20.53,23.75,42.69,53.76,17.22,38.62,120.84,34.36,26.05,56.55,19.27,55.88,14.85,21.81,42.62,75.17
Seq_49,20.50,30.91,34.17,25.24,21.19,32.21,24.93,62.90,9.92,18.88,65.34,46.36,32.28,26.81,35.25,21.18,30.66,41.14,103.46,32.09
Seq_50,24.94,97.09,17.92,23.40,29.92,27.33,42.90,25.00,41.49,20.09,42.57,64.22,32.51,36.40,23.34,29.91,45.65,28.82,58.94,70.34
Seq_51,12.83,184.43,25.27,58.87,80.54,16.74,46.19,64.96,171.78,16.29,99.99,91.58,31.52,69.00,20.11,42.54,21.19,29.89,51.50,75.13
Seq_52,16.40,312.69,38.77,20.60,45.26,15.60,73.82,17.85,33.05,28.34,115.29,40.14,66.82,65.45,72.42,44.61,19.55,14.46,0.00,66.33
Seq_53,24.50,52.31,24.95,19.92,60.84,25.94,53.45,27.09,31.17,24.25,67.00,33.60,87.78,38.22,24.14,18.69,39.05,20.56,83.05,57.20
Seq_54,20.70,0.00,31.12,20.78,55.74,15.25,83.34,23.10,33.88,15.43,66.69,59.67,48.24,39.06,33.35,28.09,34.74,20.54,251.95,70.86
Seq_55,18.55,247.76,49.03,62.00,44.98,29.63,47.95,58.07,168.13,20.65,46.03,92.90,19.60,60.11,25.81,16.99,24.30,39.77,165.16,72.67
Seq_56,28.36,313.62,41.95,30.17,85.73,33.21,126.74,31.26,29.08,18.11,152.59,47.04,40.75,27.30,92.57,27.88,33.34,32.13,167.45,49.49
Seq_57,16.53,61.40,22.91,28.02,53.91,20.60,39.38,37.54,61.49,16.27,98.69,37.58,29.85,58.75,21.19,22.73,21.78,20.98,89.68,36.75
Seq_58,12.59,134.75,18.05,24.59,35.72,29.03,55.21,30.29,16.17,22.15,40.83,52.26,37.75,40.27,37.84,14.29,23.62,18.46,58.81,60.39
Seq_59,40.95,251.42,28.43,24.57,50.55,14.67,146.34,26.26,17.74,23.26,107.66,18.86,93.72,72.73,59.00,25.39,22.99,33.05,174.03,30.72
Seq_60,16.36,78.10,28.15,38.31,50.17,32.22,91.02,32.42,24.44,20.82,63.07,52.60,32.85,53.58,35.45,23.87,35.27,18.80,194.11,65.84
Seq_61,14.49,103.83,22.31,16.75,37.81,51.43,0.00,38.81,19.07,11.96,43.28,26.25,62.43,24.59,31.94,50.75,40.71,45.94,136.33,26.67
Seq_62,24.54,134.64,34.36,13.89,33.94,18.68,148.55,21.95,23.59,28.78,71.24,43.43,83.09,73.52,31.57,59.14,40.03,13.14,0.00,50.71
Seq_63,30.10,67.30,48.34,81.32,42.23,15.95,101.09,30.58,36.66,18.10,126.94,36.63,44.01,50.80,38.86,20.56,39.97,27.80,53.84,28.89
Seq_64,36.98,153.13,33.75,25.99,39.71,30.89,83.06,41.01,20.80,15.69,51.10,34.33,36.65,60.41,116.04,48.34,28.49,27.10,144.92,73.83
Seq_65,30.48,84.80,24.98,24.37,47.40,17.09,111.33,26.07,29.24,32.72,56.67,50.56,37.51,48.07,29.16,54.76,22.87,16.53,324.86,65.02
Seq_66,54.69,0.00,77.43,68.34,123.21,55.81,90.00,148.92,41.00,97.78,97.15,184.44,40.30,114.29,8.22,18.89,68.05,45.48,0.00,43.63
Seq_67,30.92,769.28,19.75,20.83,45.85,26.72,192.10,26.45,24.61,24.46,124.18,20.52,65.80,77.45,63.89,26.25,31.54,34.83,106.93,42.09
Seq_68,19.47,148.89,29.15,17.65,38.67,25.71,62.53,37.91,57.26,12.88,109.14,51.92,29.39,56.24,25.78,39.27,32.34,21.67,168.76,201.36
Seq_69,17.05,91.00,55.57,30.00,44.70,23.17,59.32,26.48,52.28,18.55,79.57,46.55,22.98,37.57,32.60,40.28,36.80,25.56,248.45,76.23
Seq_70,40.99,247.03,30.53,45.04,43.53,23.36,61.37,44.14,27.38,29.70,104.83,47.43,29.97,57.94,31.38,24.86,30.82,25.53,63.53,33.94
Seq_71,28.54,125.83,27.27,17.12,54.60,39.71,58.99,13.37,22.65,17.92,95.62,34.69,39.10,57.39,27.28,25.58,31.14,19.42,104.76,28.52
Seq_72,30.60,81.15,30.31,27.20,30.84,24.76,56.43,27.41,26.45,38.33,51.11,39.70,36.05,31.36,27.12,29.28,28.83,36.42,99.89,27.06
Seq_73,54.10,60.60,28.02,19.32,59.51,40.60,75.59,43.35,47.01,29.11,142.57,48.77,43.36,34.37,48.08,21.13,31.79,30.43,175.97,89.05
Seq_74,14.27,354.74,45.89,33.85,99.10,20.45,106.21,41.29,24.23,21.94,49.89,38.99,20.12,33.48,60.08,28.00,27.49,18.81,57.86,35.64
Seq_75,40.29,140.15,33.45,26.28,39.92,16.47,63.51,18.93,15.27,21.23,132.91,31.97,49.49,33.39,23.52,29.21,30.74,20.90,172.72,43.91
Seq_76,36.69,0.00,36.84,15.82,39.47,26.06,84.18,34.34,21.54,23.52,167.33,27.33,24.03,49.54,47.96,36.45,28.13,27.81,111.76,77.90
Seq_77,15.03,138.40,31.47,47.06,50.66,20.51,37.36,32.43,54.27,21.04,51.80,32.68,30.67,62.16,92.95,33.81,20.18,28.45,70.88,56.40
Seq_78,13.50,123.82,26.54,19.98,36.06,13.72,39.37,36.66,43.32,12.78,58.24,69.28,28.53,25.11,12.52,20.16,43.71,17.23,55.96,59.13
Seq_79,16.81,528.97,32.99,50.74,33.36,22.03,136.81,37.68,55.52,33.16,79.29,18.22,37.72,50.44,51.11,24.72,22.83,25.85,89.94,38.76
Seq_80,30.44,0.00,48.56,28.28,39.63,10.27,65.36,55.14,11.05,18.80,69.52,63.03,17.48,48.11,17.07,45.42,39.06,28.66,0.00,58.27
Seq_81,107.88,40.88,26.86,16.77,34.27,48.06,29.75,17.84,24.05,20.27,118.61,23.15,40.99,105.09,38.76,15.52,58.79,24.16,0.00,21.62
Seq_82,19.44,49.53,31.53,21.36,26.44,15.31,104.46,32.51,34.53,19.78,43.30,30.67,30.94,41.76,40.55,24.83,48.94,30.28,182.05,138.43
Seq_83,26.91,182.71,35.88,29.49,43.89,18.60,55.03,33.92,41.74,49.91,59.12,66.73,21.66,52.81,68.75,49.05,30.60,24.89,241.53,43.54
Seq_84,12.23,90.27,25.54,21.63,49.13,13.42,52.66,29.45,32.32,26.89,45.34,78.38,72.85,106.12,25.54,39.25,32.14,19.75,234.08,111.92
Seq_85,36.14,119.59,52.02,34.82,38.16,21.71,35.82,31.50,21.57,23.13,45.04,38.33,35.82,57.80,23.85,21.49,31.17,25.45,149.84,44.33
Seq_86,15.96,96.19,23.66,32.64,38.72,40.50,52.09,40.32,22.52,19.28,114.04,46.20,28.30,63.88,30.70,44.96,25.03,25.85,79.56,49.38
Seq_87,27.65,36.20,23.58,26.86,20.46,22.46,27.88,36.80,46.45,18.02,62.27,52.40,38.63,26.36,20.58,29.19,31.09,26.32,64.77,32.30
Seq_88,36.81,97.45,49.70,23.49,58.06,18.81,68.81,44.94,30.49,23.16,52.30,19.14,111.57,48.25,41.21,24.32,26.40,32.98,74.33,42.55
Seq_89,16.74,252.43,38.46,22.47,75.71,16.58,110.11,13.95,24.45,23.60,71.79,87.13,36.71,178.29,43.09,37.82,29.07,25.87,180.66,98.53
Seq_90,22.33,60.89,47.20,60.12,63.34,26.68,86.75,43.27,60.22,19.22,100.59,68.55,32.39,68.60,43.24,27.70,31.79,28.90,121.92,50.99
Seq_91,22.29,85.40,26.29,16.38,47.09,22.52,36.24,24.58,20.13,21.53,54.94,28.62,37.32,61.60,25.23,34.05,25.63,31.68,0.00,74.44
Seq_92,13.89,166.04,20.61,24.82,36.15,24.19,50.42,30.90,61.76,26.99,77.97,51.12,22.95,74.90,21.06,69.25,33.07,26.44,62.75,56.36
Seq_93,19.68,215.16,43.06,37.06,21.47,14.40,133.81,70.79,40.15,12.65,69.74,59.47,22.42,40.64,43.91,52.20,50.96,33.32,61.66,34.78
Seq_94,14.66,104.40,28.69,22.32,34.55,22.28,78.52,19.62,28.33,34.86,37.83,45.12,23.53,43.86,68.81,85.63,22.94,24.09,175.72,64.73
Seq_95,23.57,62.28,18.12,38.02,31.61,24.00,66.45,25.71,45.95,14.31,48.30,32.23,28.14,53.38,37.09,16.70,74.77,19.46,107.34,47.89
Seq_96,36.78,0.00,22.57,29.16,15.60,15.37,32.36,27.74,41.90,27.73,67.86,19.60,46.63,36.48,23.43,21.05,23.23,22.98,67.04,31.77
Seq_97,11.24,525.11,27.20,24.45,71.15,14.79,94.97,87.53,132.44,14.28,105.16,78.99,32.43,73.67,49.52,21.17,27.18,17.33,122.70,130.08
Seq_98,12.34,0.00,29.07,21.90,16.39,19.95,30.82,12.39,37.12,7.31,19.32,23.46,15.08,0.00,24.39,26.54,12.55,22.63,19.95,18.12
Seq_99,12.99,127.80,26.48,22.18,57.80,21.77,102.57,22.03,42.85,11.49,63.71,50.14,45.36,86.45,25.66,27.67,64.66,36.82,107.71,167.09
Seq_100,22.78,30.73,21.81,16.28,35.17,18.25,67.95,22.51,18.01,18.62,37.33,29.48,23.83,31.75,48.50,51.77,29.79,21.25,0.00,50.10
Seq_101,22.49,182.05,23.05,35.50,106.18,14.75,72.90,23.62,34.51,9.97,64.59,34.98,51.12,26.19,73.60,43.00,34.43,19.87,115.04,103.62
Seq_102,14.38,51.25,22.00,24.45,21.90,15.56,47.95,20.41,21.07,25.30,40.46,25.19,43.58,42.97,0.00,45.79,32.34,21.62,152.51,61.12
Seq_103,33.91,82.98,20.55,18.97,43.45,20.91,83.37,24.63,33.03,25.33,49.53,67.44,31.39,96.76,33.37,72.26,43.84,45.90,46.37,50.90
Seq_104,15.43,222.30,72.41,32.10,88.02,25.35,42.85,41.54,27.38,47.34,215.21,42.70,31.48,40.39,25.26,26.23,20.47,15.76,73.51,58.35
Seq_105,37.66,78.51,27.64,21.45,55.35,24.89,66.35,36.98,44.87,24.33,76.71,33.91,55.57,42.82,29.51,22.49,31.82,50.66,86.08,59.26
Seq_106,14.05,139.71,22.66,56.94,46.94,21.03,49.65,56.19,74.69,16.34,78.70,68.48,32.10,70.65,24.25,27.74,29.45,29.20,75.66,60.63
Seq_107,25.66,163.51,25.62,29.57,36.48,28.66,83.07,29.43,24.21,19.59,78.03,24.37,65.73,50.12,43.02,37.45,30.74,28.87,227.92,34.44
Seq_108,22.71,89.79,41.39,49.89,42.88,25.90,91.62,38.14,40.85,19.59,91.05,40.65,37.66,74.55,43.23,25.13,30.77,26.75,147.53,59.72
Seq_109,20.39,197.84,34.44,28.83,34.68,25.64,56.91,43.48,27.84,27.09,70.06,41.55,25.39,47.36,31.04,45.67,25.45,21.86,164.28,45.10
Seq_110,13.98,47.66,27.86,16.92,22.43,53.17,88.90,27.53,12.01,13.72,42.92,31.64,66.68,21.63,77.85,26.52,25.92,33.59,85.59,33.66
Seq_111,16.49,108.95,23.31,21.73,37.39,20.96,25.34,15.21,38.53,11.84,149.01,26.98,40.91,52.72,25.51,24.47,40.79,20.27,80.91,63.48
Seq_112,29.13,0.00,29.74,28.06,31.83,19.28,54.79,25.60,25.08,54.58,120.86,25.10,36.40,41.94,32.01,37.37,39.15,24.46,36.47,57.60
Seq_113,38.56,306.56,28.97,23.79,34.92,31.77,55.21,32.97,26.52,21.34,62.52,50.92,35.38,97.12,36.20,50.02,28.74,20.42,72.60,28.22
Seq_114,38.65,45.24,29.29,30.30,81.78,18.15,65.77,15.22,23.43,15.87,90.92,28.10,49.37,70.63,116.27,18.43,38.53,16.62,0.00,45.29
Seq_115,33.67,127.68,41.59,25.62,61.06,32.00,128.54,25.27,11.42,31.39,143.19,46.13,37.30,35.29,19.63,44.00,43.01,18.78,0.00,52.35
Seq_116,18.11,109.57,33.82,20.13,52.75,24.11,60.19,37.86,49.79,20.91,53.09,105.18,27.95,42.95,29.06,52.87,33.39,21.82,131.06,70.03
Seq_117,22.64,72.64,25.05,49.61,36.96,20.16,47.54,57.93,34.42,17.61,111.17,62.60,37.87,36.46,25.95,19.53,53.83,16.76,64.96,116.48
Seq_118,27.72,103.61,20.98,59.40,55.62,21.05,55.52,46.65,34.17,15.22,45.60,55.92,29.01,96.17,37.11,23.53,59.77,22.79,183.00,36.10
Seq_119,12.73,173.21,21.33,32.48,113.71,21.08,60.71,34.36,37.23,16.33,37.71,44.61,39.39,114.68,28.19,27.80,33.95,26.85,233.12,119.35
Seq_120,15.71,281.96,16.91,56.84,33.61,24.42,86.01,67.12,69.69,25.87,116.93,37.15,77.20,43.90,38.15,23.99,24.54,34.88,55.95,22.99
Seq_121,24.68,118.11,36.18,36.64,34.63,29.87,137.85,23.25,39.77,20.21,125.22,30.72,48.85,40.11,57.31,22.91,30.47,21.88,249.01,42.91
Seq_122,26.45,29.03,16.11,38.71,28.42,20.13,27.39,19.20,29.84,44.36,74.29,33.85,16.58,28.19,85.19,30.57,25.99,15.74,52.45,34.16
Seq_123,19.64,0.00,38.85,42.57,73.18,25.79,24.87,17.33,24.09,10.69,32.06,26.97,94.58,25.21,31.01,16.69,52.70,15.45,0.00,37.51
Seq_124,13.46,85.15,34.89,19.88,48.98,18.66,52.79,22.58,39.14,19.61,116.89,65.77,52.99,60.95,27.60,33.85,27.81,22.59,326.90,63.06
Seq_125,15.02,121.14,31.05,19.65,32.01,31.79,104.14,26.01,27.44,20.05,113.98,29.72,33.30,40.58,58.80,39.11,37.56,20.24,139.50,57.07
Seq_126,39.53,145.65,32.04,54.01,58.37,43.77,112.03,46.26,36.22,27.09,52.83,27.68,37.64,51.23,58.53,19.16,31.24,64.22,277.79,75.61
Seq_127,28.25,67.41,35.91,36.55,40.56,29.34,98.24,82.92,112.79,16.38,230.14,92.37,19.01,29.10,41.32,25.00,27.85,33.65,69.22,85.58
Seq_128,21.41,183.97,39.37,24.13,64.96,14.66,93.35,30.21,25.53,19.91,54.07,39.78,37.52,177.41,39.15,49.85,33.19,41.82,116.08,45.86
Seq_129,16.85,128.12,30.34,44.45,47.99,28.14,70.99,21.87,73.20,19.66,53.29,48.51,35.47,45.86,21.01,44.94,28.85,18.22,0.00,76.07
Seq_130,16.10,112.84,33.51,35.20,31.12,28.80,82.04,63.31,28.58,26.46,26.61,54.27,22.50,80.65,44.30,31.56,41.06,20.91,63.80,34.09
Seq_131,32.23,174.80,34.37,32.15,42.31,36.63,105.15,38.88,37.13,19.81,93.74,35.33,44.80,47.16,35.62,25.13,24.00,30.06,54.10,44.03
Seq_132,13.75,197.27,33.40,38.91,76.00,12.00,85.44,16.75,21.53,18.89,82.21,41.38,56.48,42.69,79.94,33.97,27.45,16.60,91.56,68.93
Seq_133,20.08,90.90,50.88,34.05,379.99,25.63,74.07,77.09,20.12,25.54,81.26,83.62,22.48,51.18,31.24,22.08,32.56,35.43,195.93,240.02
Seq_134,27.39,167.06,35.41,27.90,42.03,17.79,59.34,42.50,108.80,34.28,152.89,63.67,25.04,39.48,32.38,25.66,23.83,28.49,160.43,46.38
Seq_135,20.56,100.71,16.81,38.79,30.35,15.65,81.76,48.80,29.58,22.03,56.37,40.64,25.64,97.44,36.38,25.96,29.06,23.94,40.73,113.87
Seq_136,15.60,75.34,54.93,22.01,86.05,19.28,78.28,37.05,40.28,12.74,60.91,55.31,19.50,21.50,34.26,27.62,77.68,19.96,89.97,42.97
Seq_137,37.94,162.39,51.66,43.61,37.62,38.39,54.25,43.91,31.49,21.01,153.27,42.57,42.64,32.79,48.19,20.79,25.81,56.93,107.19,65.20
Seq_138,21.20,126.71,19.83,32.55,50.39,24.70,89.36,33.91,23.82,25.24,83.79,27.53,40.32,65.19,71.05,24.05,20.84,42.47,58.84,28.12
Seq_139,17.60,238.02,25.62,67.67,47.46,20.17,98.92,30.22,37.33,27.15,42.72,66.61,41.80,83.11,55.34,14.00,22.72,31.49,53.35,27.28
Seq_140,9.71,133.94,42.93,26.40,114.10,16.91,70.99,47.05,66.59,19.58,59.42,77.91,26.16,47.07,22.39,47.78,35.63,24.08,110.05,86.02
Seq_141,16.19,490.41,26.46,32.32,47.71,29.48,80.49,22.47,31.94,27.12,49.91,24.91,44.88,47.71,43.53,38.28,55.30,21.41,109.58,45.96
Seq_142,37.29,41.60,60.35,30.12,30.92,48.29,58.14,18.26,28.63,27.49,65.49,125.90,35.76,33.76,35.98,30.16,18.44,37.30,69.12,58.81
Seq_143,22.03,111.44,30.77,20.86,29.59,20.56,165.84,17.89,20.86,12.13,162.27,28.52,28.67,57.15,59.00,17.37,39.76,42.58,63.82,43.53
Seq_144,15.17,95.25,26.32,24.55,38.71,17.75,76.78,20.90,39.82,14.08,38.05,91.05,51.10,35.81,21.06,34.04,28.61,37.21,78.85,44.43
Seq_145,23.59,271.08,47.17,65.32,66.14,21.03,94.92,52.30,132.84,34.25,164.19,24.08,57.49,55.12,112.62,15.54,31.54,30.28,138.05,52.45
Seq_146,45.16,0.00,26.09,20.88,30.67,29.14,92.01,16.34,18.90,16.06,94.67,45.48,30.70,47.56,31.34,31.33,40.47,18.82,73.14,47.17
Seq_147,31.31,0.00,22.61,25.75,33.73,19.46,40.74,16.32,16.63,24.50,71.45,28.11,25.42,36.86,36.17,51.19,51.14,33.22,57.03,25.49
Seq_148,43.03,0.00,27.68,20.81,60.05,37.22,59.85,22.75,44.19,13.80,32.11,23.06,41.13,63.86,45.63,21.15,30.37,25.45,210.78,60.89
Seq_149,31.35,30.69,29.06,40.42,57.08,23.01,104.06,25.27,34.98,17.64,85.03,19.61,28.36,27.36,85.93,25.29,43.17,17.07,66.16,63.15
Seq_150,13.00,323.52,35.57,21.65,36.35,21.51,106.21,41.63,43.91,19.00,77.04,84.73,37.49,97.45,19.18,69.91,33.38,18.54,231.17,172.41
Seq_151,23.93,140.33,24.47,25.17,67.69,61.98,36.77,70.36,62.88,12.33,42.88,40.81,26.03,34.61,27.01,21.24,37.29,44.75,30.32,59.23
Seq_152,31.02,26.77,42.93,38.56,64.35,14.39,64.38,60.07,33.26,27.82,148.16,79.04,25.97,53.94,42.43,19.55,22.76,22.10,132.15,89.33
Seq_153,19.34,129.37,31.90,27.49,38.97,16.85,98.70,47.76,56.73,27.70,54.60,40.00,40.58,34.06,50.15,48.93,37.18,23.66,95.29,36.50
Seq_154,16.72,52.85,13.76,28.28,47.72,16.84,40.78,38.31,67.66,27.41,162.43,67.73,49.76,80.17,54.92,30.13,14.73,14.96,62.04,52.02
Seq_155,31.71,170.14,43.27,23.90,69.85,23.92,79.79,27.79,23.76,23.24,104.55,40.99,32.43,25.45,47.28,46.96,35.99,25.10,64.37,87.48
Seq_156,14.87,128.22,32.88,26.69,43.26,14.88,75.71,28.98,35.70,23.70,48.12,59.54,28.91,122.71,47.15,41.50,29.89,27.76,316.73,45.16
Seq_157,8.58,50.57,12.68,14.57,0.00,16.65,49.86,53.09,38.16,17.97,42.29,37.01,15.07,0.00,17.95,19.68,27.01,18.11,38.78,37.46
Seq_158,23.39,156.28,25.64,26.50,27.51,22.83,96.23,27.23,26.39,19.04,56.80,33.78,42.81,60.69,30.05,29.62,41.43,33.33,106.17,46.28
Seq_159,16.84,82.19,28.35,36.23,34.21,47.56,40.16,15.72,15.42,16.13,120.45,33.26,56.67,36.98,15.83,17.23,25.08,37.91,42.80,59.88
