ID,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
Seq_71,-0.043,-0.404,-0.495,-0.479,0.057
Seq_72,0.101,-0.231,-0.228,-0.36,-0.036
Seq_73,0.719,-0.359,-0.081,-0.721,0.088
Seq_74,-0.172,-0.679,-0.21,-0.31,0.193
Seq_75,0.25,-0.332,-0.54,-0.284,0.08
Seq_76,0.117,-0.489,-0.428,-0.577,0.132
Seq_77,0.056,-0.782,-0.08,-0.297,0.247
Seq_78,0.255,-0.494,-0.376,-0.31,0.26
Seq_79,0.194,-0.475,-0.161,-0.457,-0.01
Seq_80,0.597,-0.639,-0.686,-0.124,0.243
Seq_81,0.208,-0.181,-0.22,-0.452,-0.016
Seq_82,0.314,-0.663,-0.144,-0.43,0.025
Seq_83,0.196,-0.856,-0.085,-0.458,0.24
Seq_84,0.322,-0.897,-0.255,-0.43,0.198
Seq_85,0.287,-0.497,-0.38,-0.158,0.079
Seq_86,-0.007,-0.454,-0.306,-0.284,0.234
Seq_87,0.115,-0.148,-0.1,-0.187,0.036
Seq_88,0.205,-0.476,-0.201,-0.467,-0.088
Seq_89,0.111,-0.907,-0.44,-0.526,0.226
Seq_90,-0.083,-0.693,-0.161,-0.313,0.127
Seq_91,0.198,-0.393,-0.347,-0.469,0.036
Seq_92,0.138,-0.361,-0.187,-0.198,0.209
Seq_93,-0.159,-0.673,-0.142,-0.348,0.179
Seq_94,0.064,-0.66,-0.173,-0.511,0.181
Seq_95,-0.16,-0.59,-0.127,-0.499,0.138
Seq_96,0.192,-0.312,-0.257,-0.417,-0.025
Seq_97,0.288,-1.05,-0.1,-0.64,0.29
Seq_98,-1.361,-0.36,-0.24,-0.038,0.171
Seq_99,0.111,-0.767,-0.342,-0.438,0.26
Seq_100,0.231,-0.523,-0.122,-0.645,-0.016
Seq_101,-0.08,-0.957,-0.38,-0.518,0.266
Seq_102,-0.082,-0.661,-0.154,-0.456,0.043
Seq_103,0.133,-0.4,-0.203,-0.3,0.014
Seq_104,0.289,-0.688,-0.514,-0.238,0.212
Seq_105,0.511,-0.357,-0.274,-0.505,0.07
Seq_106,0.094,-0.65,-0.136,-0.319,0.218
Seq_107,0.051,-0.347,-0.251,-0.47,0.019
Seq_108,0.046,-0.515,-0.186,-0.412,0.103
Seq_109,0.115,-0.525,-0.233,-0.321,0.119
Seq_110,0.056,-0.317,-0.287,-0.375,0.051
Seq_111,-0.049,-0.631,-0.327,-0.424,0.208
Seq_112,0.042,-0.223,-0.259,-0.292,0.06
Seq_113,0.02,-0.287,-0.346,-0.335,0.019
Seq_114,-0.05,-0.822,-0.322,-0.559,0.128
Seq_115,0.548,-0.317,-0.784,-0.288,0.189
Seq_116,0.158,-0.802,-0.348,-0.444,0.175
Seq_117,0.258,-0.639,-0.225,-0.461,0.139
Seq_118,0.03,-0.544,-0.175,-0.369,0.171
Seq_119,0.126,-0.689,-0.262,-0.347,0.247
Seq_120,0.237,-0.401,-0.011,-0.434,0.111
Seq_121,0.067,-0.614,-0.183,-0.592,0.068
Seq_122,0.059,-0.735,0.167,-0.324,0.083
Seq_123,0.273,-0.419,-0.467,-0.355,0.182
Seq_124,0.185,-0.793,-0.332,-0.435,0.147
Seq_125,0.183,-0.454,-0.244,-0.446,0.155
Seq_126,0.363,-0.337,-0.046,-0.439,0.107
Seq_127,-0.085,-0.428,-0.05,-0.414,0.266
Seq_128,0.13,-0.585,-0.261,-0.423,0.079
Seq_129,0.103,-0.676,-0.301,-0.475,0.225
Seq_130,-0.041,-0.411,-0.099,-0.254,0.094
Seq_131,0.051,-0.293,-0.227,-0.459,0.056
Seq_132,0.105,-0.888,-0.357,-0.492,0.151
Seq_133,0.62,-0.673,-0.221,-0.322,0.366
Seq_134,0.285,-0.556,-0.008,-0.442,0.059
Seq_135,0.338,-0.723,-0.115,-0.346,0.12
Seq_136,-0.237,-0.621,-0.32,-0.419,0.299
Seq_137,0.445,-0.232,-0.271,-0.388,0.119
Seq_138,0.209,-0.313,-0.045,-0.469,0.053
Seq_139,0.158,-0.572,-0.023,-0.449,0.121
Seq_140,0.2,-0.865,-0.251,-0.354,0.265
Seq_141,0.134,-0.494,-0.201,-0.494,0.083
Seq_142,0.19,-0.423,-0.157,-0.315,0.006
Seq_143,-0.021,-0.459,-0.235,-0.587,0.151
Seq_144,0.099,-0.553,-0.296,-0.355,0.139
Seq_145,0.538,-0.721,0.141,-0.675,0.115
Seq_146,0.016,-0.248,-0.525,-0.39,0.084
Seq_147,-0.082,-0.15,-0.349,-0.263,0.075
Seq_148,0.236,-0.493,-0.481,-0.485,0.126
Seq_149,0.089,-0.74,0.052,-0.525,0.031
Seq_150,0.167,-0.634,-0.437,-0.39,0.247
Seq_151,0.147,-0.037,-0.193,-0.269,0.128
Seq_152,0.264,-0.761,0.057,-0.358,0.028
Seq_153,0.171,-0.575,-0.157,-0.479,0.093
Seq_154,0.305,-0.858,-0.002,-0.556,0.172
Seq_155,0.171,-0.451,-0.419,-0.379,0.119
Seq_156,-0.05,-0.861,-0.178,-0.447,0.167
Seq_157,0.581,-0.722,0.12,-0.642,0.218
Seq_158,0.095,-0.366,-0.189,-0.377,0.12
Seq_159,0.372,-0.254,-0.586,-0.177,0.148
Seq_160,0.432,-0.701,-0.592,-0.056,0.155
Seq_161,-1.23,-0.843,-0.409,-0.25,0.171
Seq_162,0.095,-0.493,-0.347,-0.521,0.005
Seq_163,0.203,-0.69,-0.406,-0.214,0.086
Seq_164,0.125,-0.606,-0.3,-0.399,0.257
Seq_165,0.168,-0.687,-0.34,-0.523,0.137
Seq_166,0.183,-0.632,-0.208,-0.495,0.055
Seq_167,0.086,-0.588,-0.379,-0.547,0.185
Seq_168,0.377,-1.063,-0.068,-0.501,0.204
Seq_169,-0.15,-0.367,-0.151,-0.315,-0.009
Seq_170,0.118,-0.397,-0.254,-0.585,-0.04
Seq_171,0.162,-0.453,-0.214,-0.384,0.112
Seq_172,-0.269,-0.386,-0.235,-0.333,0.137
Seq_173,0.052,-0.925,-0.23,-0.546,0.214
Seq_174,0.014,-0.58,-0.331,-0.349,0.205
Seq_175,0.169,-0.997,-0.418,-0.518,0.272
Seq_176,0.217,-0.49,-0.276,-0.401,0.123
Seq_177,0.751,-0.379,-0.191,-0.472,0.195
Seq_178,0.059,-0.88,-0.341,-0.507,0.196
Seq_179,0.232,-0.805,-0.303,-0.372,0.319
Seq_180,0.23,-0.432,-0.187,-0.475,-0.051
Seq_181,0.01,-0.611,-0.612,-0.513,0.143
Seq_182,0.272,-0.957,-0.023,-0.259,0.168
Seq_183,0.575,-0.79,-0.002,-0.723,-0.114
Seq_184,0.082,-0.745,-0.267,-0.599,0.126
Seq_185,0.039,-0.709,-0.528,-0.341,0.202
Seq_186,0.103,-0.615,-0.281,-0.318,0.161
Seq_187,-0.003,-0.715,-0.226,-0.3,0.256
Seq_188,-0.013,-0.448,-0.315,-0.228,0.097
Seq_189,0.423,-0.607,-0.021,-0.603,0.054
Seq_190,-0.177,-0.249,-0.273,-0.107,0.048
Seq_191,-0.094,-0.623,-0.363,-0.324,0.138
Seq_192,0.537,-0.311,-0.581,-0.155,0.144
Seq_193,0.16,-0.422,-0.09,-0.434,0.126
Seq_194,0.042,-0.299,-0.181,-0.337,0.106
Seq_195,0.048,-0.534,-0.165,-0.376,0.097
Seq_196,0.387,-0.002,-0.427,-0.202,0.109
Seq_197,0.054,-0.512,-0.4,-0.442,0.203
Seq_198,0.193,-0.718,-0.264,-0.443,0.241
Seq_199,0.121,-0.412,-0.136,-0.473,-0.063
Seq_200,0.211,-0.728,-0.359,-0.446,0.187
Seq_201,-0.374,-0.382,-0.513,-0.418,0.084
Seq_202,-0.078,-0.83,-0.437,-0.474,0.23
Seq_203,0.035,-0.615,-0.497,-0.515,0.056
Seq_204,0.288,-0.339,-0.279,-0.402,0.145
Seq_205,-0.009,-0.417,-0.254,-0.378,0.212
Seq_206,0.194,-0.411,-0.285,-0.404,0.036
Seq_207,-0.274,-0.683,-0.396,-0.385,0.254
Seq_208,0.055,-0.663,-0.23,-0.464,0.166
Seq_209,0.269,-0.171,-0.333,-0.505,0.049
Seq_210,-0.075,-0.611,-0.165,-0.414,0.082
Seq_211,0.079,-0.397,-0.291,-0.344,0.098
Seq_212,0.211,-0.526,-0.452,-0.413,0.249
Seq_213,0.237,-0.354,-0.474,-0.466,0.057
Seq_214,0.085,-0.516,-0.116,-0.43,0.172
Seq_215,0.372,-0.306,-0.183,-0.518,0.138
Seq_216,0.07,-0.973,-0.223,-0.483,0.222
Seq_217,-0.041,-0.095,-0.367,-0.399,0.099
Seq_218,0.108,-0.551,-0.663,-0.575,0.099
Seq_219,0.072,-0.516,-0.322,-0.389,0.146
Seq_220,0.438,-0.484,-0.27,-0.505,0.202
Seq_221,0.03,-0.364,-0.396,-0.44,0.15
Seq_222,-0.175,-0.313,-0.301,-0.182,0.071
Seq_223,0.716,-0.07,-0.465,-0.407,0.074
Seq_224,-0.05,-0.835,-0.348,-0.469,0.153
Seq_225,0.04,-0.468,-0.29,-0.38,0.005
Seq_226,-0.003,-0.631,-0.137,-0.136,0.312
Seq_227,0.231,-0.408,-0.119,-0.358,0.192
Seq_228,1.205,-0.252,-0.29,-0.335,0.245
Seq_229,0.294,-0.439,-0.175,-0.484,0.116
Seq_230,-0.083,-0.417,-0.279,-0.386,0.112
Seq_231,0.115,-0.58,-0.169,-0.311,0.159
Seq_232,0.133,-0.442,-0.63,-0.385,0.318
Seq_233,-0.007,-0.53,0.162,-0.317,-0.035
Seq_234,0.09,-0.369,-0.347,-0.545,0.106
Seq_235,-0.911,-0.783,-0.248,-0.29,0.155
Seq_236,0.355,-0.639,0.069,-0.272,0.286
Seq_237,0.177,-0.648,0.181,-0.303,0.222
Seq_238,-0.05,-0.443,-0.307,-0.3,0.275
Seq_239,0.82,-0.127,-0.173,-0.083,-0.121
Seq_240,0.105,-0.56,-0.612,-0.453,0.127
Seq_241,0.032,-0.459,-0.189,-0.374,0.055
Seq_242,-0.059,-0.495,-0.151,-0.441,-0.031
Seq_243,0.269,-0.575,0.03,-0.448,0.125
Seq_244,0.049,-1.154,-0.104,-0.558,0.231
Seq_245,0.343,-0.288,-0.087,-0.562,0.126
Seq_246,0.042,-0.819,-0.145,-0.382,0.291
Seq_247,0.408,-0.275,-0.312,-0.445,0.197
Seq_248,0.33,-0.407,-0.732,-0.174,0.207
Seq_249,0.144,-0.404,-0.125,-0.595,-0.019
Seq_250,-0.191,-0.725,-0.408,-0.493,0.167
Seq_251,0.162,-0.584,-0.24,-0.465,0.156
Seq_252,0.12,-0.564,-0.316,-0.462,0.045
Seq_253,1.077,-0.249,-0.503,-0.412,0.078
Seq_254,0.231,-0.791,-0.357,-0.468,0.212
Seq_255,0.339,-0.331,-0.157,-0.31,-0.006
Seq_256,0.585,-0.441,-0.133,-0.809,0.074
Seq_257,0.2,-0.769,-0.268,-0.516,0.302
Seq_258,0.006,-0.611,-0.145,-0.619,0.168
Seq_259,-0.138,-0.753,-0.302,-0.493,0.299
Seq_260,-0.225,-0.312,-0.34,-0.375,0.245
Seq_261,0.06,-0.206,-0.254,-0.422,-0.026
Seq_262,0.245,-0.439,-0.136,-0.506,0.014
Seq_263,0.294,-0.525,-0.538,-0.378,0.108
Seq_264,0.127,0.059,-1.019,-0.126,-0.017
Seq_265,-0.162,-0.467,-0.305,-0.193,0.134
Seq_266,0.509,-0.303,0.221,-0.346,0.158
Seq_267,0.145,-0.593,-0.172,-0.355,0.056
Seq_268,0.205,-0.394,-0.022,-0.383,0.062
Seq_269,0.426,-0.253,-0.274,-0.57,-0.051
Seq_270,0.346,-0.476,-0.109,-0.497,-0.019
Seq_271,0.157,-0.929,-0.304,-0.593,0.254
Seq_272,-0.009,-0.538,-0.499,-0.445,0.161
Seq_273,0.162,-0.307,-0.333,-0.358,0.126
Seq_274,0.174,-0.549,-0.368,-0.445,0.037
Seq_275,0.03,-0.572,-0.359,-0.33,0.052
Seq_276,-0.011,-0.365,-0.481,-0.38,0.125
Seq_277,0.226,-0.52,-0.099,-0.334,0.185
Seq_278,0.028,-0.354,-0.293,-0.4,0.147
Seq_279,-0.072,-0.606,-0.323,-0.433,0.264
Seq_280,0.153,-0.399,-0.089,-0.336,0.121
Seq_281,0.534,-0.234,-0.158,-0.211,0.152
Seq_282,0.057,-0.473,-0.211,-0.496,0.031
Seq_283,0.107,-0.893,-0.257,-0.46,0.191
Seq_284,0.085,-1.001,-0.288,-0.502,0.152
Seq_285,0.034,-0.656,0.114,-0.26,-0.037
Seq_286,0.336,-0.277,-0.205,-0.461,0.165
Seq_287,-0.068,-0.426,-0.184,-0.299,0.199
Seq_288,0.386,-0.77,-0.474,-0.665,0.288
Seq_289,-0.052,-0.167,-0.22,-0.305,0.078
Seq_290,0.257,-0.217,-0.61,-0.582,0.011
Seq_291,0.192,-0.126,-0.47,-0.228,0.163
Seq_292,0.165,-1.024,-0.148,-0.43,0.103
Seq_293,-0.142,-0.624,-0.03,-0.43,0.187
Seq_294,0.291,-0.621,-0.241,-0.359,0.079
Seq_295,0.203,-0.236,-0.202,-0.329,-0.043
Seq_296,0.127,-0.422,-0.145,-0.403,0.23
Seq_297,0.204,-0.538,-0.226,-0.508,0.129
Seq_298,0.109,-0.538,-0.364,-0.481,0.007
Seq_299,0.063,-0.667,-0.161,-0.442,0.127
Seq_300,-0.18,-0.57,-0.351,-0.517,0.218
Seq_301,-0.1,-0.69,-0.336,-0.412,0.196
Seq_302,-0.113,-0.356,-0.27,-0.18,0.084
Seq_303,-0.065,-0.594,-0.209,-0.369,0.353
Seq_304,0.187,-0.141,-0.325,-0.466,-0.017
Seq_305,0.229,-0.707,-0.331,-0.5,0.155
Seq_306,0.137,-0.394,-0.258,-0.378,0.186
Seq_307,0.154,-0.857,-0.218,-0.297,0.292
Seq_308,-0.66,-1.176,-0.239,-0.362,0.058
Seq_309,0.225,-0.83,-0.418,-0.453,0.415
Seq_310,0.106,-0.562,-0.071,-0.387,0.133
Seq_311,0.591,-0.486,-0.572,-0.183,0.239
Seq_312,0.092,-0.641,-0.191,-0.39,0.156
Seq_313,0.613,-0.445,-0.139,-0.805,0.073
Seq_314,0.195,-0.527,-0.156,-0.486,0.158
Seq_315,-0.078,-0.851,-0.325,-0.542,0.257
Seq_316,0.023,-0.674,-0.103,-0.365,0.224
Seq_317,0.063,-0.751,-0.06,-0.418,0.036
Seq_318,0.124,-0.762,-0.052,-0.493,0.045
Seq_319,0.307,-0.696,-0.27,-0.506,0.22
Seq_320,0.279,-0.72,-0.351,-0.597,0.221
Seq_321,-0.016,-0.473,-0.428,-0.427,0.067
Seq_322,0.124,-0.702,-0.409,-0.578,0.201
Seq_323,0.197,-0.053,-0.262,-0.462,0.186
Seq_324,-0.022,-0.555,-0.22,-0.397,0.228
Seq_325,0.331,-0.431,-0.196,-0.521,0.038
Seq_326,0.249,-0.359,-0.29,-0.427,0.04
Seq_327,0.125,-0.793,-0.281,-0.466,0.198
Seq_328,0.338,-0.212,-0.389,-0.366,0.063
Seq_329,0.229,-0.527,-0.212,-0.535,0.056
Seq_330,0.081,-0.57,-0.212,-0.365,0.135
Seq_331,-0.103,-0.597,-0.226,-0.371,0.081
Seq_332,0.381,-0.378,-0.312,-0.458,0.171
Seq_333,-0.125,-0.951,-0.444,-0.287,0.416
Seq_334,0.226,-0.452,-0.225,-0.513,0.069
Seq_335,0.233,-0.509,-0.526,-0.606,0.205
Seq_336,0.939,-0.175,-0.289,-0.371,0.226
Seq_337,0.078,-0.678,-0.335,-0.514,0.103
Seq_338,0.584,-1.15,0.12,-0.912,0.258
Seq_339,0.779,0.21,-0.043,-0.553,-0.335
Seq_340,0.338,-0.402,-0.38,-0.523,0.067
Seq_341,0.28,-0.793,-0.036,-0.645,0.195
Seq_342,0.067,-0.528,-0.325,-0.49,0.171
Seq_343,0.212,-0.726,-0.007,-0.557,0.127
Seq_344,0.36,-0.501,-0.28,-0.414,0.143
Seq_345,-0.826,-0.591,-0.281,-0.333,0.039
Seq_346,0.17,-0.219,-0.217,-0.318,0.172
Seq_347,0.039,-0.073,-0.4,-0.264,0.04
Seq_348,0.015,-0.445,-0.253,-0.411,0.125
Seq_349,0.218,-0.474,-0.221,-0.425,0.224
Seq_350,0.24,-0.392,-0.339,-0.464,0.173
Seq_351,0.195,-0.749,-0.223,-0.379,0.176
Seq_352,-0.668,-0.728,-0.169,-0.417,0.01
Seq_353,-0.013,-0.144,-0.152,-0.235,0.089
Seq_354,0.025,-0.645,-0.176,-0.5,0.064
Seq_355,0.29,-0.474,-0.167,-0.292,0.026
Seq_356,0.259,-0.219,-0.181,-0.211,0.075
Seq_357,0.01,-0.723,-0.243,-0.464,0.358
Seq_358,0.307,-0.372,-0.313,-0.566,0.017
Seq_359,0.161,-0.155,-0.103,-0.142,0.135
Seq_360,0.236,-0.193,-0.395,-0.428,0.014
Seq_361,0.282,-0.518,-0.344,-0.481,-0.041
Seq_362,0.757,-0.445,-0.57,-0.54,0.23
Seq_363,-0.0,-0.613,-0.235,-0.47,0.173
Seq_364,-0.055,-0.737,-0.324,-0.448,0.186
Seq_365,0.202,-0.198,-0.197,-0.377,0.066
Seq_366,-0.101,-0.368,-0.169,-0.596,-0.044
Seq_367,0.337,-1.038,-0.058,-0.486,0.35
Seq_368,0.016,-0.245,-0.417,-0.478,0.088
Seq_369,0.443,0.13,-0.465,-0.511,-0.073
Seq_370,-0.097,-0.405,-0.372,-0.454,0.174
Seq_371,0.695,-0.375,0.154,-0.493,-0.04
Seq_372,0.1,-0.312,-0.182,-0.263,0.054
Seq_373,-0.15,-0.749,-0.132,-0.293,0.212
Seq_374,0.225,-0.339,-0.151,-0.368,0.032
Seq_375,0.07,0.244,-0.378,0.076,0.172
Seq_376,0.399,-0.712,-0.429,-0.663,0.227
Seq_377,-0.145,-0.791,-0.199,-0.391,0.122
Seq_378,-0.197,-0.528,-0.335,-0.344,0.091
Seq_379,-0.222,-0.735,-0.36,-0.281,0.34
Seq_380,0.133,-0.561,-0.242,-0.553,0.223
Seq_381,-0.11,-0.834,-0.258,-0.368,0.264
Seq_382,0.061,-0.482,-0.596,-0.316,0.176
Seq_383,0.083,-0.656,-0.135,-0.381,0.256
Seq_384,0.194,-0.421,-0.425,-0.584,0.098
Seq_385,-0.162,-0.676,-0.252,-0.482,0.221
Seq_386,0.272,-0.951,-0.335,-0.618,0.245
Seq_387,0.154,-0.626,-0.237,-0.325,0.13
Seq_388,0.119,-0.485,-0.351,-0.373,0.028
Seq_389,0.17,-0.558,-0.22,-0.496,0.087
Seq_390,0.151,-0.571,-0.173,-0.616,0.107
Seq_391,0.251,-0.304,-0.252,-0.393,0.129
Seq_392,0.185,-0.6,-0.088,-0.303,0.09
Seq_393,0.127,-0.446,-0.187,-0.408,0.079
Seq_394,-0.036,-0.54,-0.111,-0.546,0.181
Seq_395,0.058,-0.559,-0.374,-0.342,0.047
Seq_396,0.812,-0.454,-0.055,-0.604,0.187
Seq_397,0.139,-0.464,-0.451,-0.447,0.126
Seq_398,0.057,-0.651,-0.24,-0.418,0.213
Seq_399,-0.049,-0.724,-0.266,-0.55,0.277
Seq_400,0.469,-0.254,-0.173,-0.326,0.078
Seq_401,0.401,-0.526,-0.269,-0.549,0.087
Seq_402,-0.078,0.019,-0.266,-0.249,0.068
Seq_403,-0.114,-0.43,-0.341,-0.586,0.077
Seq_404,0.039,-0.628,-0.347,-0.489,0.194
Seq_405,-0.038,-0.405,-0.509,-0.364,0.075
Seq_406,0.154,-0.292,-0.237,-0.376,0.167
Seq_407,0.014,-0.858,-0.348,-0.555,0.299
Seq_408,0.245,-0.579,-0.546,-0.404,0.07
Seq_409,0.45,-0.549,-0.116,-0.661,0.241
Seq_410,-0.053,-0.449,-0.247,-0.436,0.122
Seq_411,0.362,-0.486,-0.312,-0.384,0.13
Seq_412,-0.592,-0.826,-0.453,-0.47,0.252
Seq_413,0.416,-0.428,0.105,-0.064,0.214
Seq_414,-0.752,-0.813,-0.246,-0.293,0.046
Seq_415,0.658,-0.465,0.317,-0.581,-0.352
Seq_416,0.311,-0.539,-0.394,-0.541,-0.038
Seq_417,0.391,-0.415,-0.545,-0.244,0.212
Seq_418,0.177,-0.389,-0.265,-0.351,0.074
Seq_419,0.269,-0.134,-0.31,-0.238,0.044
Seq_420,0.162,-0.234,-0.321,-0.248,0.105
Seq_421,0.039,-0.728,-0.058,-0.145,0.349
Seq_422,0.199,-0.387,-0.254,-0.453,0.059
Seq_423,-0.041,-0.57,-0.289,-0.399,0.131
Seq_424,0.099,-0.877,-0.463,-0.571,0.143
Seq_425,0.136,-0.138,-0.25,-0.227,0.283
Seq_426,0.347,-0.643,-0.658,-0.53,0.425
Seq_427,0.12,-0.985,-0.09,-0.522,0.165
Seq_428,0.044,-0.267,-0.299,-0.338,0.084
Seq_429,0.294,-0.703,-0.393,-0.606,0.195
Seq_430,0.044,-0.709,-0.141,-0.355,0.05
Seq_431,-0.012,-0.627,-0.21,-0.426,0.112
Seq_432,0.078,-0.668,-0.192,-0.513,0.133
Seq_433,0.183,-0.521,-0.149,-0.689,0.125
Seq_434,0.645,-0.167,-0.718,-0.104,0.007
Seq_435,0.305,-0.355,-0.291,-0.337,0.237
Seq_436,0.043,-1.295,-0.314,-0.426,0.28
Seq_437,-0.168,-0.721,-0.513,-0.414,0.192
Seq_438,0.676,-0.253,-0.368,-0.478,-0.057
Seq_439,0.006,-0.458,-0.316,-0.311,0.255
Seq_440,0.296,-0.348,-0.446,-0.298,0.134
Seq_441,0.059,-0.243,-0.39,-0.434,0.203
Seq_442,0.238,-0.283,-0.591,-0.409,0.105
Seq_443,0.183,-1.158,-0.217,-0.463,0.234
Seq_444,0.044,-0.689,-0.208,-0.389,0.239
Seq_445,-0.021,-0.587,-0.281,-0.496,0.134
Seq_446,0.289,-0.821,0.197,-0.089,0.124
Seq_447,0.214,-0.788,-0.234,-0.369,0.251
Seq_448,0.147,-0.214,-0.529,-0.359,0.076
Seq_449,0.119,-0.381,-0.258,-0.563,0.111
Seq_450,-0.069,-0.415,-0.264,-0.406,0.196
Seq_451,0.99,-0.586,0.145,-0.214,0.048
Seq_452,0.398,-0.444,-0.108,-0.38,0.179
Seq_453,0.23,-0.789,-0.264,-0.667,0.122
Seq_454,0.217,-0.227,-0.702,-0.181,0.141
Seq_455,0.508,-0.743,-0.065,-0.564,0.097
Seq_456,-0.104,-0.425,-0.562,-0.374,0.188
Seq_457,0.055,-0.698,-0.295,-0.351,0.165
Seq_458,-0.163,-0.805,-0.362,-0.424,0.361
Seq_459,0.205,-0.489,0.104,-0.334,0.214
Seq_460,0.26,-0.361,-0.346,-0.436,0.182
Seq_461,-0.296,-0.151,-0.283,-0.488,0.031
Seq_462,0.258,-0.763,-0.236,-0.42,0.21
Seq_463,0.356,-0.598,-0.016,-0.536,0.119
Seq_464,0.14,-0.345,-0.366,-0.568,0.009
Seq_465,-0.252,-0.394,-0.518,-0.335,-0.019
Seq_466,0.217,-0.733,-0.097,-0.473,0.243
Seq_467,0.329,-0.416,-0.389,-0.55,0.141
Seq_468,0.272,-0.541,-0.25,-0.345,0.043
Seq_469,0.098,-0.187,-0.361,-0.441,0.091
Seq_470,0.224,-0.811,-0.348,-0.555,0.326
Seq_471,-0.014,-0.386,0.027,-0.432,0.019
Seq_472,0.056,-0.275,-0.285,-0.432,0.118
Seq_473,0.529,-0.711,-0.007,-0.89,0.112
Seq_474,0.389,-0.096,-0.208,-0.223,0.002
Seq_475,-0.014,-0.437,0.077,-0.351,0.098
